Y_AR,Y_N2,Y_H,Y_H2,Y_HE,Y_O,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_O2,Y_CO,Y_CO2,Y_HCO,Y_HOCO,Y_N,Y_NH,Y_NH2,Y_NH3,Y_NNH,Y_N2H2,Y_N2H3,Y_N2H4,Y_H2NN,Y_NO,Y_N2O,Y_NO2,Y_HNO,Y_HON,Y_HONO,Y_H2NO,Y_HNOH,Y_NH2OH,Y_HNO2,Y_HONO2,Y_NO3,MF,CEM,HRR,T
0.0,0.7570299432160491,1.0745381556354867e-07,2.07371359821452e-05,0.0,3.4318598909851142e-06,9.00443199918262e-05,0.0102555094838958,9.535179810104343e-06,0.0005059571171659821,0.232369309180293,0.0,0.0,0.0,0.0,1.7084718680282228e-19,6.988840418614615e-18,1.2505912668975676e-10,0.0002344566637881,1.7554130324272366e-18,3.623204172800231e-16,6.776398363351224e-17,1.0007448706013468e-16,1.454598251914041e-15,4.432977198829115e-09,6.706874284032527e-10,8.355771885343413e-08,3.4234756845274794e-11,1.2033739148930193e-18,3.800460632450603e-09,1.271163352011087e-10,3.3051754700640457e-10,6.758637921537419e-11,1.3828747081813524e-14,7.553287756148269e-06,0.0,0.0,-6.666979901166454,86630388.50288084,299.190022851704
0.0,0.7570528700210771,1.1928558442312184e-07,1.79200622729013e-05,0.0,3.489507262151073e-06,9.11075045619659e-05,0.0102097636221987,9.5282835462166e-06,0.0004957951117780568,0.232420262564471,0.0,0.0,0.0,0.0,1.8106606658065841e-19,7.368805459287997e-18,1.2011311492676438e-10,0.0002080762254184,2.068044511723358e-18,3.380983679634747e-16,6.075510208726913e-17,8.979973285554766e-17,1.2976306439645258e-15,4.344066632682641e-09,5.663091067209818e-10,7.733854360066739e-08,3.2293223942535193e-11,1.2751270548576506e-18,3.6312618325943538e-09,1.2140474049116342e-10,3.095529373856562e-10,6.458535512066692e-11,1.37763505138764e-14,6.904732169669499e-06,0.0,0.0,-6.660825400682989,86647442.19100796,300.752261792634
0.0,0.756891685062083,1.1684904705483248e-07,1.88617091301688e-05,0.0,3.457397031509624e-06,8.972399778752099e-05,0.010214195611409,9.318912435068202e-06,0.0004771042362210801,0.232588162066397,0.0,0.0,0.0,0.0,2.575885065274059e-19,1.0413644540056687e-17,1.3775070688591004e-10,0.0001973715531932,2.247278906939395e-18,4.409526636630687e-16,8.025284650803692e-17,1.192711997326562e-16,1.7186803847643232e-15,4.9051092034669604e-09,7.077692068996106e-10,8.601093097689988e-08,3.673963042054312e-11,1.4708601815333896e-18,4.063747348620542e-09,1.399521745191184e-10,3.5153629471850516e-10,7.527075861730358e-11,1.5829583728399213e-14,7.699024442842915e-06,0.0,0.0,-6.652860078908105,82069295.16761829,302.873721245693
0.0,0.756856298162782,1.0749547264376544e-07,1.88268214950906e-05,0.0,3.4210845797836865e-06,8.757765659627109e-05,0.0105328254517084,8.892008373760672e-06,0.0004426340273503447,0.2323011477793,0.0,0.0,0.0,0.0,7.11083823573599e-19,2.832571609082655e-17,2.2578273342871576e-10,0.000203324128118,2.635165456652066e-18,1.1275413362636981e-15,2.1595011683926592e-16,3.242738213909623e-16,4.647210362299196e-15,7.700157406028029e-09,1.7159645911692826e-09,1.3298730316845342e-07,5.903581219892312e-11,2.312785650160566e-18,6.251471365286924e-09,2.30635561866176e-10,5.634282449799361e-10,1.2762789757245685e-10,2.5813214651862245e-14,1.196849318903277e-05,0.0,0.0,-6.636824397135549,74240102.4206039,307.637531632728
0.0,0.7564525924523109,8.961408935696156e-08,2.14303473657135e-05,0.0,3.4313855542833298e-06,8.511498935340259e-05,0.0117790748919692,8.182284713692884e-06,0.0003833264881334538,0.23143287545891,0.0,0.0,0.0,0.0,7.56664339126107e-18,2.912928086781111e-16,7.329770883098364e-10,0.0002289118600906,4.351822160639591e-18,1.0246771371897789e-14,2.213623916611379e-15,3.4122009983791606e-15,4.79766368758723e-14,2.2462408363858948e-08,1.4680541369954352e-08,3.87250632230935e-07,1.830845429714446e-10,6.6356738290421565e-18,1.7373618136096917e-08,7.565304584042882e-10,1.7279736011400032e-09,4.435008791201368e-10,8.183620831836473e-14,3.5207169660096936e-05,0.0,0.00023368754162030492,-6.603943770166068,62491753.1499613,318.80729625232897
0.0,0.7549926374369781,4.229242152886977e-08,5.53126998506658e-05,0.0,3.565870415227839e-06,8.609848707782171e-05,0.0130838061086944,7.612943990174673e-06,0.00034525736511956557,0.2313877247287289,0.0,0.0,0.0,0.0,3.8724752250486085e-16,1.4432874434447004e-14,6.474408448767284e-09,0.0003944205386691,5.872640049390199e-17,5.209354091130337e-13,1.5483044719753113e-13,2.547725301409097e-13,3.4953065722175183e-12,1.1252222106604139e-07,9.381756122784863e-07,3.1351700294974375e-06,1.5320432818196821e-09,1.762327797317246e-17,8.267788649797168e-08,6.97948462619449e-09,1.4389819672193663e-08,4.138317709651847e-09,4.4538940957139597e-13,0.0002869547516520793,0.0,0.00041474097996425127,-6.5680382474153935,58905660.23588651,330.32137005245204
0.0,0.754282386745553,1.910248879134683e-09,5.85677217694567e-05,0.0,2.634983233865763e-06,8.26593657404708e-05,0.0146803882449502,1.4497966275109045e-05,0.0002770022471499459,0.230466848462506,0.0,0.0,0.0,0.0,1.731593673395806e-12,6.437958052158617e-11,4.0106671851212177e-07,0.0004291494594811,1.7109616604003901e-13,1.3925458999432426e-09,5.667609534315142e-10,9.721488353729169e-10,1.3173878177008623e-08,3.070740145134139e-07,0.0007880407619641279,8.792075274362827e-05,1.002729913485012e-07,2.7176044569300344e-18,2.2485777864136975e-07,2.0254268961559102e-06,8.654021362277081e-07,2.7173136209434404e-07,1.9421135786091006e-12,0.008046407124418932,0.0,0.0,-5.745507078664293,86252642.31490748,348.05913683833603
0.0,0.754068949372413,2.1672023602947008e-09,5.18155912277563e-05,0.0,1.1832576102845746e-06,7.914767487387901e-05,0.0167199288943966,4.337206823561461e-05,0.0002237589828864193,0.228652553915735,0.0,0.0,0.0,0.0,5.23202915601835e-12,2.121402034269446e-10,5.065391929129102e-07,0.0004276045513541,2.4154618857462867e-13,2.1476710543610556e-09,8.932511558419559e-10,1.5803012313354441e-09,1.6044185727638674e-08,2.735537201059884e-07,0.01022200446007056,0.0004156793433127865,4.1600297471318867e-07,3.589946061267615e-18,6.844709611790432e-07,1.2784989885120487e-05,9.957956404519646e-07,3.574293182672208e-07,1.862331714123411e-11,0.03799086096318739,0.0,0.0,-5.900869492581692,181289436.3987677,369.12514024497
0.0,0.7535230022201559,6.090266100905429e-09,5.12884231235626e-05,0.0,6.194597983042879e-07,7.418374197374879e-05,0.0195291344026242,7.90414746699559e-05,0.0001844787387753747,0.226393559689225,0.0,0.0,0.0,0.0,6.394777325041689e-12,2.937693133341527e-10,4.2304337341815736e-07,0.0004288315228979,1.160262300783328e-13,1.1363101490117645e-09,5.859419075517085e-10,1.1292142953246528e-09,6.026870093635568e-09,3.136763749151641e-07,0.01981028896888634,0.0008987804325995989,9.80494859984981e-07,1.6296835106669686e-17,2.2073629931657086e-06,1.625986112481113e-05,5.619887361765783e-07,3.0494227147934993e-07,1.7698752740410596e-10,0.0811676454211655,0.0,0.0,-6.10666994007282,228762621.67678937,401.39436961284
0.0,0.7532388373367199,1.0503720570476873e-08,4.7390245160623714e-05,0.0,3.8997929346360605e-07,7.11465302537006e-05,0.0229423059051453,0.00010960525541796361,0.00017036680601467569,0.223278662072201,0.0,0.0,0.0,0.0,8.592832907937615e-12,4.563686040854144e-10,3.9620641193898454e-07,0.000421657910519,7.196681214147273e-14,7.547288552974203e-10,4.731959857871657e-10,9.891522287968694e-10,2.8424228342103975e-09,4.132806548180849e-07,0.02792554551044361,0.0014387879114715267,1.5758540262300348e-06,4.887745616093357e-17,4.651462436024091e-06,1.5669076023072323e-05,3.326592302089363e-07,2.784676742806142e-07,9.31762977136308e-10,0.12650681308810646,0.0,0.0,-6.178319902851296,229734361.19220716,435.952448306898
