Y_NO,Y_NH3,Y_H2,Y_O2,Y_H,Y_O,Y_OH,Y_HO2,Y_N2,Y_H2O,Y_H2O2,Y_NH2,Y_NH,Y_N,Y_NNH,Y_NH2OH,Y_H2NO,Y_HNOH,Y_HNO,Y_HON,Y_NO2,Y_HONO,Y_HNO2,Y_NO3,Y_HONO2,Y_N2O,Y_N2H4,Y_N2H3,Y_N2H2,Y_H2NN,Y_AR,MF,CEM,HRR,T
3.2836560784181926e-09,0.0002344566637881,2.07371359821452e-05,0.232369309180293,1.0593034600227436e-07,3.9060660472995845e-06,9.00443199918262e-05,8.17193981042437e-06,0.7570299432160491,0.0102555094838958,0.0004325209599490689,5.392918731331758e-11,5.20990729514021e-13,1.22227388820742e-14,8.336729606246466e-18,5.821728820188311e-11,1.7707219022155518e-12,2.610673837707804e-10,3.406974997327012e-11,4.000458610853794e-12,8.872980552782836e-08,5.60462137455955e-09,8.37535310652451e-15,4.59441069071853e-08,8.172025042047877e-06,4.890263615441943e-10,1.9294249842654642e-17,1.4887735516593805e-17,1.4693421704804127e-20,4.906797642696303e-16,0.0,0.0,-5.8226485734854405,74007311.13627593,299.190022851704
3.2421185895601257e-09,0.0002080762254184,1.79200622729013e-05,0.232420262564471,1.2203438213494042e-07,3.973799270902148e-06,9.11075045619659e-05,8.055628230101822e-06,0.7570528700210771,0.0102097636221987,0.0004162655407289967,5.249053168463075e-11,5.116938259404738e-13,1.2178060169109198e-14,9.784248021974303e-18,5.483484780520498e-11,1.6765516137322805e-12,2.410930212503944e-10,3.180849840999476e-11,3.5681604434919896e-12,7.947675694878702e-08,5.18059038432662e-09,7.723265793906281e-15,3.9444635257133355e-08,7.095609008059959e-06,3.8880514684968975e-10,1.7529537707831453e-17,1.3588139061696308e-17,1.2146259486647837e-20,4.386218010820951e-16,0.0,0.0,-5.823809094914203,73720430.71442947,300.752261792634
3.6880526154027225e-09,0.0001973715531932,1.88617091301688e-05,0.232588162066397,1.1942184483527953e-07,3.936030013186263e-06,8.972399778752099e-05,7.891192535829427e-06,0.756891685062083,0.010214195611409,0.0004011248271768437,6.076302638092915e-11,5.965501262495287e-13,1.42575152510438e-14,1.0499211475288522e-17,6.412366923544521e-11,1.936972855510356e-12,2.747360667469128e-10,3.647722847668777e-11,4.074372247316338e-12,8.888974026666125e-08,5.7492434030719235e-09,9.253749680117593e-15,4.358935328600879e-08,7.956679636086797e-06,4.948003159007998e-10,2.372642937200097e-17,1.8315970807181087e-17,1.702556291796522e-20,5.892392897022169e-16,0.0,0.0,-5.809747655164743,69939943.6087217,302.873721245693
5.876349817414218e-09,0.000203324128118,1.88268214950906e-05,0.2323011477793,1.1020101059034338e-07,3.892032365012296e-06,8.757765659627109e-05,7.5512122357458144e-06,0.756856298162782,0.0105328254517084,0.0003732670056148666,1.0112033054859725e-10,1.0103364692639252e-12,2.429278161488081e-14,1.188316825175719e-17,1.0893948336075988e-10,3.19162296957981e-12,4.412951192983066e-10,5.939615314945704e-11,6.586229386306005e-12,1.3838654761273602e-07,8.668500791485546e-09,1.6629631486191915e-14,6.607600083069323e-08,1.245435603461686e-05,1.2347154635270124e-09,6.652008553429048e-17,5.077732082202005e-17,5.2875561077882544e-20,1.6247187760495204e-15,0.0,0.0,-5.782422940338557,63501468.95215061,307.637531632728
1.791091398952863e-08,0.0002289118600906,2.14303473657135e-05,0.23143287545891,9.272370414748973e-08,3.897153812108747e-06,8.511498935340259e-05,6.991292700312146e-06,0.7564525924523109,0.0117790748919692,0.000325429955521534,3.3875457062603255e-10,3.535424019870935e-12,8.623865972371545e-14,1.5908883853506193e-17,3.7927798730907667e-10,1.04668408482685e-11,1.3568647520706968e-09,1.8903029518862739e-10,2.107913132821377e-11,4.0863842177685354e-07,2.3247275632213217e-08,6.741059696279286e-14,1.8338967400321045e-07,3.715142237335769e-05,1.1200682183683034e-08,7.458672792341954e-16,5.552335612209857e-16,7.656192644634432e-19,1.7443021214106295e-14,0.0,0.0002418811233361971,-5.7308270283207,53935550.68825506,318.80729625232897
1.0034395447612611e-07,0.0003944205386691,5.53126998506658e-05,0.2313877247287289,4.769768924268442e-08,4.042083014408431e-06,8.609848707782171e-05,6.53337447419213e-06,0.7549926374369781,0.0130838061086944,0.0002949966270824561,2.8577035225648585e-09,3.117891828309895e-11,7.537939703929546e-13,2.6562018733623054e-17,3.283945813196936e-09,8.954971472565045e-11,1.049798688219495e-08,1.5216585474792765e-09,1.6531290071024746e-10,3.112867509630827e-06,1.143663154751553e-07,6.752147581812253e-13,1.305289903487084e-06,0.00028490656588243306,6.476667683946036e-07,5.0813884779693384e-14,3.640113444400145e-14,9.987469942226442e-17,1.140030615329439e-12,0.0,0.00042299610209719135,-5.689864280986082,51703210.70418152,330.32137005245204
3.690012193197973e-07,0.0004291494594811,5.85677217694567e-05,0.230466848462506,3.296331413126384e-10,1.2366432433312265e-06,8.26593657404708e-05,5.517974828536142e-05,0.754282386745553,0.0146803882449502,0.0002584270631567403,5.826059749428503e-07,2.9760214697896368e-09,6.019225533710072e-11,3.004083763152666e-13,8.218032916372816e-07,3.585537005656488e-07,2.046650348143238e-06,1.2263283974529627e-06,7.658081024560278e-08,0.0005409722881850819,4.338612710469949e-07,1.8029458685127939e-09,0.00019468651579741033,0.049237334260745474,0.008733597845558466,2.2168273291899337e-09,1.5242909824694575e-09,4.5918015991048257e-10,3.5550751881364624e-08,0.0,0.0,-5.691813469356661,300304897.6525096,348.05913683833603
1.833899017741804e-07,0.0004276045513541,5.18155912277563e-05,0.228652553915735,7.341589174538604e-10,3.5815669645600474e-07,7.914767487387901e-05,0.00013825979269287353,0.754068949372413,0.0167199288943966,0.0003785179382544557,2.6924484860063e-07,5.86611551846158e-10,8.432204093293245e-12,3.684783810733367e-14,4.645381663554821e-07,5.455439156631439e-07,5.364569598120902e-07,1.6752123766260883e-06,3.6928072523116674e-07,0.0017355366204712098,3.321092996637395e-07,3.085973906235271e-08,0.0005421512470039542,0.16268569465408722,0.043802350445185795,5.627587381713601e-10,3.771813584066344e-10,7.530809843641246e-11,2.9278839682396957e-09,0.0,0.0,-5.871213467996191,496768462.750848,369.12514024497
2.311328556086354e-07,0.0004288315228979,5.12884231235626e-05,0.226393559689225,2.1536995298519023e-09,2.4214641770841887e-07,7.418374197374879e-05,0.00015482996618875042,0.7535230022201559,0.0195291344026242,0.00038346159458302125,2.792604134953721e-07,5.247198179868386e-10,6.91034530994445e-12,3.101692650279347e-14,4.991704658633629e-07,6.809491424593745e-07,3.7368418002351164e-07,2.0897644496824853e-06,5.992752383319024e-07,0.0021071615445868355,4.529644890492678e-07,9.903684473705535e-08,0.0005760530751597738,0.2056555009201327,0.057526896252618996,6.57884348587715e-10,4.258408634048988e-10,5.201471324208456e-11,2.1116955251007455e-09,0.0,0.0,-5.876597203014299,390302198.8919146,401.39436961284
3.3821258672301914e-07,0.000421657910519,4.7390245160623714e-05,0.223278662072201,4.272979792577044e-09,1.9329800510387968e-07,7.11465302537006e-05,0.0001612306652712537,0.7532388373367199,0.0229423059051453,0.00035827513009478154,3.1513619973219723e-07,5.514463979020881e-10,6.842341409120767e-12,2.902085986967692e-14,5.193356606551867e-07,8.416144706279737e-07,2.781916910875227e-07,2.589285305834503e-06,8.21509285335314e-07,0.002432744930422658,6.548974934159508e-07,2.526235643013091e-07,0.000558438559595387,0.2319757856715917,0.06646605356964198,8.25545181750024e-10,5.17781126861389e-10,5.653780422602686e-11,1.817261359156874e-09,0.0,0.0,-5.84124523070816,305907399.5311175,435.952448306898
