Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_C,Y_CH,Y_CH2,Y_CH2(S),Y_CH3,Y_CH4,Y_CO,Y_CO2,Y_HCO,Y_CH2O,Y_CH2OH,Y_CH3O,Y_CH3OH,Y_C2H,Y_C2H2,Y_C2H3,Y_C2H4,Y_C2H5,Y_C2H6,Y_HCCO,Y_CH2CO,Y_HCCOH,Y_N2,Y_AR
1.7855704274730835e-8,7.328000263577816e-55,1.243491428423061e-55,1.2033111306701468e-14,5.9828572551943005e-59,3.288042626680322e-11,6.028677334121726e-46,2.7933869555229492e-55,1.6342903115048998e-159,7.19677302319827e-122,6.177977213374731e-84,2.3711494273546908e-95,2.746204453707855e-46,0.9999999819785216,9.8267565642959e-12,1.2056914196581562e-12,8.266734877472663e-59,5.583769422764761e-60,-6.141637340395108e-85,4.66293005963934e-72,2.8993590982610817e-72,-3.3555938214376893e-155,2.246976044816512e-94,5.597838960696209e-144,2.8128660569003143e-99,3.030864213803895e-90,6.088447591616879e-82,-1.3336810571299734e-95,5.952647813513896e-76,1.7911062625401102e-142,1.2154339807503408e-10,0.0
1.0323417651974778e-7,5.453774647938438e-53,2.7069502030106024e-53,1.5489579592896955e-13,1.3024065368535272e-56,5.507338712597928e-10,7.760408323339535e-45,3.595804449329738e-54,6.032247570185461e-156,1.5316708940659872e-117,4.9293040627395315e-79,-1.9324272867872955e-91,3.535087734182683e-45,0.9999998939776932,1.6618276598119585e-10,2.6067237144475907e-11,1.040403721634403e-55,9.252441635528694e-58,-1.5324080495812382e-81,7.689283512642242e-70,4.8428339011842543e-70,-3.59975321258156e-151,4.8915003232901454e-92,8.988358692707284e-140,5.9998978789326845e-96,5.0222809262459393e-88,1.0088833579602499e-79,-7.426751698996363e-93,1.2958464305379094e-73,2.901865966692564e-138,2.0386831112819677e-9,0.0
5.900967925629315e-7,5.0298442871354026e-51,7.276931957487545e-51,2.498848057706343e-12,3.501208554475729e-54,9.089536015719573e-9,1.2519791494606844e-43,5.801304382218237e-53,6.84873337798674e-152,3.9195625452287797e-113,-8.120991807383258e-76,1.4134944634256687e-89,5.704183313651463e-44,0.9999993636599328,2.7691641711227307e-9,5.554924718074928e-10,1.5977303361254373e-52,2.4085190535809083e-55,1.1112923819475303e-77,1.947848260393385e-67,1.3161908280160008e-67,9.674522423863793e-117,1.3152506935614275e-89,2.2275047241167182e-135,2.5201714194027896e-92,1.307639645021316e-85,2.6267931010177993e-77,1.974264507508473e-88,3.4843018941280182e-71,7.1964007980221765e-134,3.369491139846413e-8,0.0
3.2507460483816593e-6,4.348116127224661e-49,1.813002189370035e-48,3.913212703078504e-11,8.723623018316986e-52,1.432036869385073e-7,1.961397690875256e-42,9.091448909857923e-52,7.459582708901049e-146,8.479378560458898e-109,3.8323366879922193e-72,5.243890260136779e-86,8.962832520395753e-43,0.9999960164507592,4.404568106604172e-8,1.1286839884564668e-8,2.1720348621870046e-49,5.926689223406545e-53,4.994893602175036e-75,4.172620705701091e-65,3.880581012793321e-65,5.9356642134298084e-114,3.2883522330323917e-87,4.817381349929679e-131,9.744230205532452e-89,3.2285917348897414e-83,6.485137754516501e-75,1.8187170805734457e-85,8.709155037047141e-69,1.5560958709138447e-129,5.316056178699705e-7,0.0
1.6737510575304013e-5,3.3207456221929695e-47,3.8357990276262615e-46,5.641463754192129e-10,1.8468766480883158e-49,2.0747454079994467e-6,2.8426238303137945e-41,1.3215586765878206e-50,4.94299243170072e-140,1.1964650345626651e-104,-1.081071014779789e-68,-2.371476407965576e-81,1.3546938937794912e-41,0.999972571771378,6.442026910467648e-7,2.104707189677387e-7,2.082330407054423e-46,1.2922663448679015e-50,2.2772914059787973e-71,5.395351418915771e-63,1.2317794459972396e-62,-2.3655327012286286e-108,7.306504166924935e-85,8.25317162360577e-127,3.21216594931169e-85,7.381707830899258e-81,1.4813021593907446e-72,3.027665494099432e-82,1.9760354864530533e-66,2.708490816381019e-125,7.712787117175824e-6,0.0
7.760479018832337e-5,2.5188465533278424e-45,6.475753822650273e-44,7.132480524057778e-9,3.138361051713168e-47,2.6355740671733382e-5,3.8209646028599824e-40,1.8284816207315732e-49,8.508966785501599e-61,-1.087874200109854e-80,4.525476470378117e-65,1.2156785580644503e-76,2.758645222863743e-40,0.9997854540895279,8.260619634708817e-6,3.429657661847926e-6,6.644266955835948e-44,3.3553258341023337e-48,1.2600418869876475e-67,4.794102888478046e-61,4.25208270585049e-60,-1.0040985025647497e-106,2.0249041851328055e-82,2.8318746611502363e-113,1.418261440097063e-70,3.092381312682235e-78,6.137198264753793e-70,-2.746830990381052e-77,3.589004440134986e-63,1.3284699196850298e-119,9.812139564349382e-5,0.0
0.00017181631567408177,4.1611233796106697e-44,1.6240637240890705e-42,3.2973674489803985e-8,8.04775577949441e-46,0.00012228757695966172,2.223112564933688e-39,1.170979516843625e-48,-8.873037257856331e-61,-5.588034366593305e-80,1.4795106140720813e-64,2.0494897946477987e-75,3.641982050113001e-39,0.9991873446894158,3.863485909129884e-5,1.9599545009937964e-5,1.2805919645713824e-42,2.1158609661403365e-46,-8.59012360468792e-67,1.5606241896056142e-59,3.0848415853517774e-58,6.977952621421411e-105,1.5537515775796447e-80,5.254262010198269e-110,-3.3294279568142877e-68,5.599708303588451e-76,1.0678623846562717e-67,-4.951938187715636e-76,-6.335207338886747e-61,-2.7837630377831434e-117,0.00045597241959333644,0.0
0.0002606769246605276,2.6816971699482873e-43,1.3771844307976685e-41,8.351128985081863e-8,7.098818143761042e-45,0.0003104590314419406,8.718929353254546e-39,5.423624600645929e-48,4.3039621624149795e-59,3.0177430295110084e-78,-2.850052307435104e-63,-1.0608906544481633e-73,2.7551005873280515e-38,0.9980989996017979,9.873385102943179e-5,5.86821469572285e-5,8.515594308909458e-42,4.305455684187808e-45,-2.148759107849485e-66,2.3669847726620868e-58,7.358786825842394e-57,1.4415321848105426e-102,4.458404061427258e-79,3.933097897421923e-107,-6.820520363662605e-68,3.434029710545269e-74,6.094263266873677e-66,3.407418192133145e-74,2.482540627770797e-59,-2.625379256729496e-114,0.0011596172857182166,0.0
0.0003959471226409726,3.174683810342099e-42,1.9542432164530615e-40,2.2171117487575842e-7,1.1124517232961523e-43,0.0008256137377043134,7.441209756981572e-38,6.981373368415803e-47,3.054185876301998e-59,-2.323029907651359e-77,-3.3325955643641416e-63,-3.9532475353680396e-73,4.210871214741613e-37,0.9951925510210711,0.00026474631413362005,0.0001870703933519563,1.0374146999420675e-40,2.037528633820742e-43,-1.0341430151688685e-65,9.668222209171785e-57,5.065735914617895e-55,4.134006181261453e-101,4.994418203007677e-77,-9.129471244040698e-106,-1.5059393532903944e-66,9.548922497716421e-72,1.41360309233157e-63,-4.4946997650928836e-73,7.827674633818635e-58,4.411869121755402e-111,0.0030937582313622894,0.0
0.0005905602399464717,1.267343566015368e-40,6.324819405479208e-39,5.667475612265096e-7,4.514412399385179e-42,0.0021090397334743104,2.9720106142958982e-36,7.09235759587463e-45,1.5720058547150193e-58,6.110625768375271e-77,6.53650590694917e-63,2.9928717906083854e-72,1.8792861992804992e-35,0.9879746638513948,0.000683332547643353,0.0005687910854306656,4.272673378114081e-39,3.311241056044795e-41,9.270668061034895e-65,1.9086663884476906e-54,1.9055042655752096e-52,-3.9466585730221755e-99,5.785820535185274e-74,-5.180103844134704e-102,1.7280886051559216e-64,2.818246292225082e-68,2.7749887015328815e-60,3.0066218014356455e-73,-1.0099046768267313e-56,-4.51151669929973e-107,0.007952676818219455,0.0
