Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_C,Y_CH,Y_CH2,Y_CH2(S),Y_CH3,Y_CH4,Y_CO,Y_CO2,Y_HCO,Y_CH2O,Y_CH2OH,Y_CH3O,Y_CH3OH,Y_C2H,Y_C2H2,Y_C2H3,Y_C2H4,Y_C2H5,Y_C2H6,Y_HCCO,Y_CH2CO,Y_HCCOH,Y_N2,Y_AR
1.6874484732522957e-9,8.475183845331651e-57,5.3907169186635134e-58,1.4719748239211955e-15,2.7949778667580205e-61,1.236894442807875e-12,7.353625287625387e-47,3.4046400639652456e-56,2.614090308130461e-163,1.1186086599337425e-126,6.382811485051821e-88,1.29979647527531e-96,3.349747281188224e-47,0.9999999983063,3.625516672949359e-13,4.225593065313121e-14,3.5342799839738147e-62,8.331258129718929e-62,-1.0619969908701369e-89,6.897243879189304e-74,4.2807022946228205e-74,-1.6512250669165908e-159,1.0077292346999835e-96,2.8720015374604348e-148,4.940371900129552e-102,4.351718775907381e-92,1.1269546543018862e-83,4.3638231694812513e-100,3.0526761445861395e-78,9.389621076813373e-147,4.591284485657395e-12,0.0
1.2445671986173053e-8,6.226129847319194e-55,1.1928177522256032e-55,1.4661603282884662e-14,6.1845192289749315e-59,2.7211003590606912e-11,7.324578291765972e-46,3.3911938566487945e-55,1.284942564560965e-159,4.112838144021887e-122,-3.350180797753746e-83,-5.122369953573686e-95,3.3365174636959394e-46,0.9999999874166018,8.054089122064895e-12,1.0773340482160304e-12,5.76784591062071e-59,8.265573733903159e-60,-3.298061035647456e-86,6.83867925644202e-72,4.251275399381416e-72,-4.063359883602062e-155,2.229829980992012e-94,4.2943703046243036e-144,4.8819433071828915e-99,4.317412174808035e-90,1.118070337888605e-81,-7.364813967776994e-97,6.754739573414314e-76,1.5263179694754165e-142,1.0113481543718098e-10,0.0
9.071114677245008e-8,9.255721958726988e-53,5.326949320732086e-53,2.9903912212899024e-13,2.761918280956956e-56,5.900181446653718e-10,1.493929344928772e-44,6.916754025921426e-54,1.2613884936110323e-155,2.932712725765373e-117,9.734407912934805e-79,-9.637766347434838e-91,6.80528021887047e-45,0.9999999062890741,1.7634951354873214e-10,3.0144216352340816e-11,1.8772610995494785e-55,3.438523843424675e-57,-3.379380838385073e-81,2.832318469244624e-69,1.7815763003684446e-69,-1.638004455327364e-150,9.958244840678007e-92,2.824748680542675e-139,4.142314351149237e-95,1.7960921697621558e-87,4.651297252342317e-79,-9.643627802884586e-93,3.0166112338276576e-73,1.0133256885923617e-137,2.196099673502973e-9,0.0
6.364931660287422e-7,1.3356672843132827e-50,2.2920113683085465e-50,6.149158928298491e-12,1.188373321631251e-53,1.2226302964891047e-8,3.0720916350932185e-43,1.422416168815942e-52,6.299138121890696e-151,1.849613686194578e-112,2.020801470471785e-75,-3.2524631093523764e-89,1.3997783072818859e-43,0.9999993010221282,3.689921385404263e-9,8.085756083770958e-10,5.657948790565801e-52,1.4543657087985052e-54,-2.4038988154810294e-77,1.1619522889588518e-66,7.907469627631201e-67,-8.680724029098096e-110,4.286010037196527e-89,1.7538679628704642e-134,3.6037706380306673e-91,7.598992680787534e-85,1.9678804398385896e-76,-8.778913223468601e-88,1.2983255234699627e-70,6.294030688222556e-133,4.5572751398456114e-8,0.0
4.168272383991174e-6,1.667223574928508e-48,8.404965875823852e-48,1.168653168586647e-10,4.3582713637952536e-51,2.3355439264652418e-7,5.842335321043946e-42,2.706354181446893e-51,2.5487869734043275e-144,8.306548616518463e-108,-4.707696668086212e-72,-1.1734385833040256e-85,2.6749063071751516e-42,0.9999946307335699,7.116983852611795e-8,1.9967513541036704e-8,1.3163938628087404e-48,5.282288804590095e-52,2.0660671084039846e-74,3.5234775342515566e-64,3.593084658785038e-64,-4.471895796924581e-113,1.5806936253549407e-86,8.08499729810344e-130,2.5012760474156294e-87,2.775171194575469e-82,7.185931396945996e-74,-1.2430339349422877e-84,4.787160439869143e-68,2.9002972372379475e-128,8.718016173905331e-7,0.0
2.45377480222674e-5,1.7192482833197771e-46,2.4068006991867513e-45,1.956995817306992e-9,1.2494555477646883e-48,3.9303697177857965e-6,9.880775334072968e-41,4.601511223785187e-50,1.6679908275687732e-138,1.5696680994878539e-103,-9.563771974202207e-69,-4.045984538221153e-81,4.890876960687694e-41,0.9999551020103259,1.2091724182240835e-6,4.3333209135885985e-7,1.446995186505377e-45,1.6194109244340052e-49,6.006328687445836e-71,5.383730022071945e-62,1.6688145392696346e-61,2.84377308618444e-109,4.957743385275084e-84,2.670961113341596e-125,1.4027648798822555e-83,9.291628795020204e-80,2.4017651622162997e-71,9.600546194992427e-82,1.534798131615465e-65,9.945658413546983e-124,1.469206347495132e-5,0.0
6.422026674177143e-5,3.184239041622801e-45,8.852529418797236e-44,1.1607872980714421e-8,4.61873094903942e-47,2.3410453686855253e-5,6.150052046169254e-40,2.9285340931556375e-49,-1.8028675189889073e-60,-9.783626701462494e-81,-5.206410087917652e-67,-1.3247884080679647e-78,4.2448837365139444e-40,0.9998135651650074,7.262020470689707e-6,3.22338892771618e-6,4.905915419496204e-44,8.392979346826208e-48,-2.3927467694902167e-68,1.3901163776522273e-60,1.0297034368796216e-59,1.8997652931248625e-106,2.708144511436037e-82,-3.8946263962967106e-114,-1.6060154375683228e-70,7.053314478010001e-78,1.8080460083979723e-69,-3.695228341729484e-77,1.1259240090035572e-63,1.6855754979424373e-120,8.762408478582972e-5,0.0
0.000169812930715334,9.07723107527585e-44,4.395212903125445e-42,7.381996123880723e-8,2.359349024688446e-45,0.000149492296059774,5.2664481052404056e-39,2.8359713482771484e-48,-4.065183545118719e-60,-2.780034232633531e-79,-2.5447483308724366e-64,-4.3551805986760534e-75,9.84680773417893e-39,0.9990418310824687,4.679685240096822e-5,2.6026864008663407e-5,1.538761011025869e-42,1.2916098956625876e-45,1.5347555994125053e-67,9.665239186524215e-59,1.8967667789218807e-57,3.745215457112315e-104,5.35947044190219e-80,-7.024315157062418e-108,2.3785386780434716e-67,3.977758097770729e-75,9.707640923620997e-67,2.7644425000144246e-75,3.225172465775393e-61,-2.5062048354806302e-116,0.0005605440995375586,0.0
0.0002765025969091058,8.116417793969794e-43,5.254530516399293e-41,2.093040825217341e-7,2.9833961638197943e-44,0.00042483987391571235,2.805449747024097e-38,1.9138322724664325e-47,-2.7916013430484026e-59,1.1228800339335201e-78,-2.2341069196101312e-63,-1.2035513031001204e-73,1.093761659337184e-37,0.9974622786261,0.00013394124676606597,8.780963033481735e-5,1.4118967696118647e-41,4.4344559456574697e-44,-7.467573113634615e-67,2.4142235874501542e-57,8.157904794203454e-56,-1.0341709161105994e-101,2.999062254439013e-78,-2.7466754725306014e-106,1.9560175655823495e-67,5.3885230904037095e-73,1.192895715844855e-64,1.3358482437065055e-74,1.8424118411835365e-59,-8.281406281085744e-114,0.001596351222620951,0.0
0.0004453079532132255,1.868538196378522e-41,1.2909270373293097e-39,6.082256636374292e-7,8.525719354041717e-43,0.0012357777614937448,4.9258880427417145e-37,6.283496552626357e-46,1.518398386772237e-58,2.0652614034627187e-77,-1.0247930986297732e-62,-2.1156672253663404e-72,3.194610322675609e-36,0.9928908668152435,0.0003932621052479416,0.0003078579257789321,3.3396361252912758e-40,4.762672626781847e-42,-4.52113873485795e-66,2.4172974464203396e-55,1.5454916987840978e-53,2.930258037101163e-99,1.1973613740719161e-75,-1.2313992788097113e-103,3.584728426000207e-65,5.891421110837128e-70,1.0067085653240699e-61,1.6761495841127737e-73,5.0527336487683935e-57,2.887953727521556e-109,0.004663802271706351,0.0
0.0006917000246390338,3.106161161259032e-39,1.1671998074675395e-37,1.6460963444061623e-6,1.098144132580291e-40,0.003335177631427743,9.57353794450765e-35,5.334600447320529e-43,1.611276353097046e-58,-9.891648835654663e-77,-5.749232692258823e-62,-6.111856000913486e-71,4.881264137812812e-34,0.9809994706876785,0.001074997599784078,0.0009928485379158984,5.766394846724098e-38,3.434810495971502e-39,-3.548394928371445e-65,2.8251284762372495e-52,4.134808045296143e-50,-3.95925803112986e-95,1.8737990022192335e-71,-6.346250342537681e-100,-2.8970214026042074e-63,2.3987158592476525e-65,2.3043858828384456e-57,-3.809915308992017e-71,5.901155351488142e-54,1.5282181107255754e-103,0.012704967573754831,0.0
