Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_C,Y_CH,Y_CH2,Y_CH2(S),Y_CH3,Y_CH4,Y_CO,Y_CO2,Y_HCO,Y_CH2O,Y_CH2OH,Y_CH3O,Y_CH3OH,Y_C2H,Y_C2H2,Y_C2H3,Y_C2H4,Y_C2H5,Y_C2H6,Y_HCCO,Y_CH2CO,Y_HCCOH,Y_N2,Y_AR
1.2799600495498117e-10,2.18313515959627e-58,1.5707288502272711e-59,2.3739124563059773e-15,8.143906831286592e-63,2.2878451982506398e-14,1.185948453086883e-47,5.490798216741453e-58,1.373712415935091e-167,2.982034549688947e-131,-2.7254666890381297e-90,-5.336238280209144e-93,5.402270796630971e-48,0.999999999871873,6.578757302289551e-15,0.0,1.758560649277414e-66,2.1669017453342181e-63,-1.3671572894149525e-92,2.7162007386037215e-75,1.6117640425541955e-76,1.1971917417777616e-164,2.949049945463209e-100,2.34243495951839e-153,2.0723426212977126e-105,1.1318888465575303e-94,2.931130004822169e-86,-5.657436128506212e-104,8.933445719066338e-82,6.742763590299825e-153,8.786373087606818e-14,0.0
1.1036870419052095e-9,2.2495402557136983e-57,4.9488966387370364e-58,2.8368013809506646e-15,2.5658972236689116e-61,5.973116056904878e-13,1.4171964141636338e-47,6.561448737562872e-58,1.1411582610517503e-164,7.310799762761123e-129,3.2156816120737554e-87,3.302481666576231e-92,6.45565904412079e-48,0.9999999988932783,1.7345499181695425e-13,1.4845788889394647e-14,4.777239769716697e-64,3.0943375081981343e-63,-2.4115772033802785e-89,3.878706811940474e-75,2.3019114098975587e-76,1.1667296381614648e-161,9.291574178777945e-99,7.302858682114138e-151,3.536332195390576e-105,1.6163382375826678e-94,4.185656143253567e-86,-1.5237933887385514e-99,2.8146615021669595e-80,2.1890630207277768e-150,2.231587360714237e-12,0.0
9.413282665083397e-9,9.941793038403643e-56,6.6740409527370185e-56,1.469957161198855e-14,3.4603477934788986e-59,1.5409022085295397e-11,7.34354604151893e-47,3.399975064786709e-57,4.0052537109895015e-161,2.197326783175769e-124,-1.0017602917132767e-82,3.561474302762115e-89,3.345156798918721e-47,0.9999999905085533,4.514312018195134e-12,5.594119873615112e-13,5.4947603245447863e-61,8.308436399500725e-62,9.53094697412636e-86,1.0413814952062207e-73,6.187849586758772e-75,1.835946626703382e-157,1.2530544977558033e-96,3.6111286766095135e-147,4.920118730503135e-103,4.339942825007916e-93,1.1238679954109163e-84,1.128494613667613e-96,3.795830621420109e-78,1.3046974951052923e-146,5.753050838385067e-11,0.0
7.75360836076611e-8,1.7065574406289037e-53,3.476242865851122e-53,3.0633405434434337e-13,1.8023591486325904e-56,3.8140179760099735e-10,1.5303720478644216e-45,7.0854730212262e-56,5.2138919618557406e-157,2.3563459497476787e-119,2.2164501481085323e-78,-3.855555441371536e-86,6.971253715440806e-46,0.9999999205214759,1.1282939281716888e-10,1.802146780611753e-11,2.3573904778316052e-57,3.6083124262786496e-59,1.6335640952332055e-81,4.520218928930676e-71,2.712671826611399e-72,2.3617104254353075e-152,6.526725665090852e-94,3.077754321058467e-142,4.453008923276442e-99,1.8848318492595397e-90,4.880943708805695e-82,3.760214772782724e-92,1.9771155023088227e-75,1.1665159422917339e-141,1.4258993320534044e-9,0.0
5.998474354566118e-7,3.003824966609359e-51,1.8392558503236e-50,6.968607437751716e-12,9.536230475378051e-54,8.784772458363997e-9,3.481448874716171e-44,1.6119433251721845e-54,6.547478836403045e-153,2.243206557863415e-114,-2.6204455427998846e-74,1.8823518253908388e-83,1.5861724209026373e-44,0.999999355192679,2.6242098448955937e-9,5.379498963310849e-10,9.648803968658726e-54,1.8676417666378145e-56,-8.996500136755038e-78,2.3299759144002616e-68,1.503946276663494e-69,1.3114118334553033e-147,3.453986116770794e-91,2.8599739223949873e-137,5.2442474442495375e-95,9.757759653224131e-88,2.5268474065481045e-79,-4.782438960128732e-88,1.046264701645368e-72,1.0865177744013263e-136,3.2889716267458826e-8,0.0
4.216334957836433e-6,4.3445334678474554e-49,7.858105114965124e-48,1.4294262964082386e-10,4.0746434782481e-51,1.8115881783056235e-7,7.145015314524648e-43,3.3096138300665204e-53,1.3036296670898715e-147,1.40182668163066e-109,1.2254905646675112e-70,-4.065582203457283e-81,3.267304786536048e-43,0.9999948511079246,5.464191270234759e-8,1.4350975979528136e-8,2.894011294137038e-50,7.891372775720757e-54,-1.1050907949928544e-73,9.57135398292766e-66,9.168513068958685e-67,-7.080872942362156e-112,1.4821148175396188e-88,1.7727874352047734e-132,4.564787251346261e-91,4.1401737356682215e-85,1.0720241999454605e-76,-3.6883431061969114e-84,4.494745316051184e-70,6.732942794220509e-132,6.792197137017176e-7,0.0
1.276270660753099e-5,9.774806289976186e-48,4.230859594840534e-46,1.040977250709927e-9,2.1946727023582848e-49,1.32517087921843e-6,5.219840578281792e-42,2.422265337821015e-52,3.016118947609867e-143,1.6784251736510617e-106,-5.8480670030172094e-68,3.210114321530094e-79,2.4457514938545687e-42,0.9999803732089743,4.0315180152195745e-7,1.3232855971025738e-7,4.67872170975634e-48,4.302441416808624e-52,-4.549658207619766e-71,4.89734104753657e-64,8.291640549102062e-65,-1.873736996037954e-108,8.20851207404955e-87,2.1924072287039093e-129,1.864264215124798e-88,2.319711008291388e-83,6.002881669194756e-75,-1.2137637063309707e-81,1.3791840759386662e-68,2.1982972862272588e-129,4.974809974012003e-6,0.0
4.015488860430686e-5,2.8798307218391714e-46,2.856714998626788e-44,8.427244063336882e-9,1.4857125191146172e-47,1.0778080314373717e-5,4.328330264000213e-41,2.0321593999576375e-51,7.966439356694716e-139,2.812065870449667e-103,5.94525186080237e-65,2.4747198220472424e-77,2.433055284584678e-41,0.9999035774109772,3.3089683223792184e-6,1.373076307277716e-6,9.281620721067565e-46,3.470435983596389e-50,-1.9280419334432314e-68,3.3031912390341962e-62,1.3955445269662946e-62,1.1593985113562766e-107,6.849944884937075e-85,5.059328904246519e-126,1.503825689710502e-85,2.2964710140286e-81,5.915828676837623e-73,-2.9599503808979074e-79,8.344695535162452e-65,1.2449045170274131e-123,4.0517914734377266e-5,0.0
0.00011949331949922959,1.0371345499832162e-44,1.7301880855092685e-42,6.172230234242237e-8,9.145648961883012e-46,7.92802760321367e-5,3.722637471651951e-40,1.8775248782417175e-50,7.2019181722911094e-59,1.3474058530213623e-78,-1.2395560750536165e-62,-7.888677608680094e-67,4.560708140708158e-40,0.9994627575136785,2.455829844686994e-5,1.2771262888609922e-5,1.0119475624089062e-43,4.8549570661964575e-48,-5.625357914282283e-66,3.1901276830138224e-60,3.69382683574266e-60,-1.1910512231726162e-105,1.1106588790842754e-82,-4.348560281334449e-112,1.6623339621481644e-69,8.223170321940037e-79,2.0554313523190987e-70,4.482749929032808e-75,-7.548883581807621e-62,-4.0289069553915547e-119,0.00029850463219806956,0.0
0.00020549417022991184,8.749420775131155e-44,2.1217651066496567e-41,1.9050366661618312e-7,1.1618987528424467e-44,0.0002453779755809386,1.6553801473231764e-39,9.739175438041801e-50,2.633891971056537e-58,1.0634373575007355e-77,-4.3850265549492935e-62,-1.2648909546100676e-72,4.465591069869607e-39,0.9984903160871131,7.654456866535632e-5,4.7236980843012076e-5,9.888543473718372e-43,1.5451909468193827e-46,-6.820297802104006e-66,8.06583026009243e-59,1.6971352371849537e-58,1.03282264485435e-103,4.818583373083347e-81,8.149473147778226e-108,-1.6521040800365336e-68,8.375722903769821e-77,1.9574958428635924e-68,2.7485379342426834e-74,-7.321907647975845e-60,-6.031792013689048e-116,0.0009254413405450321,0.0
0.000349562405559314,1.3368685013060893e-42,4.522697892277106e-40,6.072773112444079e-7,2.7500601598463554e-43,0.0007837437152384552,1.6148725606437964e-38,1.4969015244283354e-48,-1.188796085175309e-57,-3.5594676924571355e-76,5.903111212827485e-62,6.68458220842808e-72,1.007395311546638e-37,0.9954346497870663,0.00024663888952442735,0.00018322617402606419,1.4913371812910903e-41,1.3062089810470078e-44,3.1595778234535177e-65,6.073909566528091e-57,2.5460657073879367e-56,-6.067895547995042e-102,1.0119735297959675e-78,3.698202255285524e-105,-2.222106656901701e-66,5.166981113858893e-74,9.877679103358979e-66,-7.438048507775729e-72,4.8297975958462795e-58,1.0384925352155983e-112,0.0029655967421082095,0.0
0.0005726950677458606,9.078609706816043e-41,2.7411735530834275e-38,1.8026598110658216e-6,2.1877851707533847e-41,0.0023241242838016236,9.193601939514274e-37,2.76958050942091e-46,-1.3764232294330308e-56,-1.5832789972043924e-74,3.8565515559520793e-60,2.0796694320584116e-69,9.163819446497593e-36,0.9867236245448046,0.0007397566773300818,0.000654082389400567,1.040346566300926e-39,5.3931032731040436e-42,-2.1064509729596823e-64,3.3622246648253356e-54,3.233517349821084e-53,1.2571429477020874e-98,4.438104520351537e-75,-2.3007851594287826e-103,-5.904021100559242e-66,7.080555667335775e-70,8.027465166141956e-62,-2.87752104670566e-70,2.4574132766238955e-55,2.3936751276532993e-108,0.008857050701816128,0.0
0.0007203450946767088,2.5378044290182146e-39,5.174544105235811e-37,3.0821677648475863e-6,5.365651968510036e-40,0.003961237609855802,2.659737370100499e-35,2.4829719735461074e-44,-3.4950681002880576e-56,-3.425938140287726e-73,1.261484683295966e-59,1.866853195932539e-68,2.6292854690439665e-34,0.9773475110874004,0.0012724815039580133,0.0012435209961159028,2.9905644222128414e-38,3.982625775167079e-40,7.994515776359348e-63,3.985993494205726e-52,6.498221523044497e-51,1.8298428411565465e-95,3.2026087482371173e-72,-6.204813780986487e-99,1.8773635504563108e-63,9.405738868729643e-67,6.47082341203271e-59,-5.314783678411307e-69,1.6661516830416106e-55,1.335641735277235e-104,0.0152123473164517,0.0
