Y_H2,Y_H,Y_O,Y_O2,Y_OH,Y_H2O,Y_HO2,Y_H2O2,Y_C,Y_CH,Y_CH2,Y_CH2(S),Y_CH3,Y_CH4,Y_CO,Y_CO2,Y_HCO,Y_CH2O,Y_CH2OH,Y_CH3O,Y_CH3OH,Y_C2H,Y_C2H2,Y_C2H3,Y_C2H4,Y_C2H5,Y_C2H6,Y_HCCO,Y_CH2CO,Y_HCCOH,Y_N2,Y_AR
1.7855704274730835e-8,1.5437393571403291e-55,1.1892705779819597e-55,1.2033111306701468e-14,6.166114532890331e-59,3.288042626680322e-11,6.011447434753207e-47,2.7832303991475524e-57,1.5536050996790273e-160,1.6168487944462068e-123,-6.438512641431064e-82,1.425409399894304e-88,2.7383556859011766e-47,0.9999999819785216,9.8267565642959e-12,1.2056914196581562e-12,1.857276747909553e-60,5.5675727505338695e-62,1.5102153423283732e-85,6.977940569424095e-74,4.151383077368885e-75,5.1266257287834213e-157,2.232862121490523e-96,1.0100517253994455e-146,2.698955939499082e-103,2.9082432374824068e-93,7.531162665594445e-85,-1.1583891531290668e-95,6.763924966110447e-78,3.6100313890861404e-146,1.2154339807503408e-10,0.0
1.0323417651974778e-7,1.1489122703474093e-53,2.5889172520616236e-53,1.5489579592896955e-13,1.3422997768709037e-56,5.507338712597928e-10,7.73822916826379e-46,3.582730379857297e-56,5.719369295228615e-157,3.4413799945853116e-119,-4.989639969457443e-78,5.9125163353488574e-86,3.524983164826401e-46,0.9999998939776932,1.6618276598119585e-10,2.6067237144475907e-11,2.3375628283306872e-57,9.225598952865204e-60,-7.246406789473064e-82,1.1554767070235278e-71,6.959933400218888e-73,1.0928422377999546e-152,4.860773066467765e-94,1.546883503233574e-142,5.756919718651471e-100,4.8190877637229605e-91,1.2479465484118997e-82,-4.022617104573856e-93,1.472454384145092e-75,5.848792437285506e-142,2.0386831112819677e-9,0.0
5.900967925629315e-7,1.0596559652252826e-51,6.959633474011639e-51,2.498848057706343e-12,3.6084520634104904e-54,9.089536015719573e-9,1.2484010205422692e-44,5.780211465551516e-55,2.5802905355193257e-153,8.812956158135068e-115,-1.6313909195262794e-74,1.2328906909178722e-83,5.687861134100379e-45,0.9999993636599328,2.7691641711227307e-9,5.554924718074928e-10,3.592321547429999e-54,2.4015190663755653e-57,-2.667516206920021e-78,2.996246732341882e-69,1.9319151514843455e-70,1.9061624640389773e-148,1.306981824459745e-91,3.8184555414954604e-138,2.418100751509452e-96,1.2547213433172099e-88,3.24919758598436e-80,1.081657380231498e-88,3.958980069950751e-73,1.4503303077908567e-137,3.369491139846413e-8,0.0
3.2507460483816593e-6,9.16740993155017e-50,1.7339533226169988e-48,3.913212703078504e-11,8.990836110417884e-52,1.432036869385073e-7,1.955792123777176e-43,9.058394772193879e-54,4.678340222218205e-149,1.927917783868166e-110,-3.5903822094632656e-72,-3.741728903649017e-83,8.936861712341117e-44,0.9999960164507592,4.404568106604172e-8,1.1286839884564668e-8,4.938317799857551e-51,5.9090643367644205e-55,1.3774613873590293e-74,7.220763403345263e-67,6.338176254074886e-68,-6.459805528970615e-146,3.267458178156833e-89,8.249936701621183e-134,9.349205058093852e-93,3.0975004820445194e-86,8.020602175104941e-78,-1.6207598036448116e-85,9.905082087379078e-71,3.1429875582080105e-133,5.316056178699705e-7,0.0
1.6737510575304013e-5,7.08036295871034e-48,3.668619483562746e-46,5.641463754192129e-10,1.9034643826380437e-49,2.0747454079994467e-6,2.8344914395882425e-42,1.3167516988402144e-52,4.343367507374014e-143,3.160907567458115e-106,-5.023138014261783e-68,2.158910486282484e-79,1.3501762438328221e-42,0.999972571771378,6.442026910467648e-7,2.104707189677387e-7,5.501098470544575e-48,1.2873090284172373e-52,2.7634530011795702e-71,1.4244908579661728e-64,2.9818619625226024e-65,-9.073948641150264e-110,7.2538098389811235e-87,1.3988046451742856e-129,3.0807741229173654e-89,7.069238536241378e-84,1.8286500302912937e-75,2.6626659690114692e-81,3.070197663292422e-69,-2.7553718648837267e-129,7.712787117175824e-6,0.0
7.760479018832337e-5,5.9595052160138274e-46,6.19443658930701e-44,7.132480524057778e-9,3.2348564193479127e-47,2.6355740671733382e-5,3.8076325270198544e-41,1.8209343373382812e-51,2.4568140252961494e-137,4.002293531282601e-102,-1.5829353843584993e-64,8.785982571398337e-69,2.74129543718538e-41,0.9997854540895279,8.260619634708817e-6,3.429657661847926e-6,5.0536671878013925e-45,3.321199334250942e-50,-4.024363530356932e-68,2.5775160558996236e-62,1.834177678744605e-62,-2.6216058898582947e-107,1.9975195053542343e-84,2.826628939737838e-125,1.632886398540079e-85,2.9234689627389625e-81,7.475364349925626e-73,-1.815841201377658e-78,-3.818531573982293e-64,-9.580146033596199e-123,9.812139564349382e-5,0.0
0.00017181631567408177,1.1026066467921488e-44,1.5542256044358916e-42,3.2973674489803985e-8,8.298367840181229e-46,0.00012228757695966172,2.196003679041265e-40,1.1576528736483304e-50,-4.879650663522582e-59,-2.604495224195492e-78,-1.9582876493059498e-62,-1.203846946737512e-66,3.6141752293263723e-40,0.9991873446894158,3.863485909129884e-5,1.9599545009937964e-5,2.669351779123566e-43,2.0835748842600365e-48,-1.1124753022446313e-65,1.138970227477682e-60,1.8754315997844055e-60,-5.6333046048805835e-106,1.5248476530067228e-82,5.00612369380438e-112,-3.326434556477546e-69,5.248393486989922e-79,1.287062071711259e-70,-1.2231656360105778e-74,-2.303252849390421e-61,-8.116955746580674e-119,0.00045597241959333644,0.0
0.0002606769246605276,7.004847484225638e-44,1.3189543017616122e-41,8.351128985081863e-8,7.324754216565588e-45,0.0003104590314419406,8.373537663651719e-40,5.236126487713102e-50,8.294076749977525e-60,2.0650557000899674e-77,7.344327514359891e-62,2.761346368415494e-72,2.7396675391352388e-39,0.9980989996017979,9.873385102943179e-5,5.86821469572285e-5,2.276399093888486e-42,4.242622150483126e-47,3.933979087523223e-65,1.9387978858269267e-59,5.924945796933379e-59,2.000397839632002e-104,4.378451312913199e-81,1.1188721762111513e-108,1.0964605662521854e-67,3.2354146618225922e-77,7.355270942490939e-69,3.506573732691485e-73,7.440868730344482e-60,1.8092382281846692e-116,0.0011596172857182166,0.0
0.0003959471226409726,7.57326438070799e-43,1.874632622263298e-40,2.2171117487575842e-7,1.1495287842604927e-43,0.0008256137377043134,6.445322579924392e-39,6.187613074387371e-49,5.516490093498029e-57,5.748260420276641e-76,3.717470990168578e-61,4.453699686370896e-71,4.214352767800698e-38,0.9951925510210711,0.00026474631413362005,0.0001870703933519563,2.5522777519828746e-41,2.0198316463235332e-45,3.766787905435113e-64,8.652991001051682e-58,4.236011416497058e-57,-5.490460375960253e-102,4.934172924929327e-79,1.5188438237394345e-106,1.1279579297203495e-66,9.21233460004653e-75,1.7273352937212864e-66,1.0824269087530527e-71,1.608120606828223e-58,1.1397011944451143e-113,0.0030937582313622894,0.0
0.0005905602399464717,2.5598705151006146e-41,6.081076998233559e-39,5.667475612265096e-7,4.6743445197796586e-42,0.0021090397334743104,1.9358253192490572e-37,4.944159451710534e-47,-7.310095264678972e-57,9.715529697971433e-75,1.0644056231362603e-61,4.129778970697043e-71,1.9131655814600017e-36,0.9879746638513948,0.000683332547643353,0.0005687910854306656,8.533881403377435e-40,3.3356366299115393e-43,-3.895826318817848e-63,1.831295017396602e-55,1.732957215303806e-54,1.3419951773653007e-99,5.808636702041817e-76,-5.828725422873247e-103,2.976778855548301e-65,2.9081590117762e-71,3.5074428861900855e-63,2.4003627077230724e-70,3.969829931592864e-56,-5.468935610045632e-110,0.007952676818219455,0.0
0.000849726591687786,6.819385919879763e-39,8.092407769119894e-37,1.3313259815790863e-6,9.722092149606963e-40,0.004928402396408093,5.685663469014136e-35,9.992231208899788e-44,3.7274016948440365e-55,-1.752316236873357e-72,-7.248811235653144e-59,-1.8107356067400182e-67,5.205464093249882e-34,0.9718959335074568,0.0016199922594237128,0.0015640868145976913,2.3759908947263163e-37,4.282449821340467e-40,1.1048693942848268e-60,5.3821072827610635e-52,1.2238485116272818e-50,-1.4634004835143389e-95,3.6462480989660355e-71,-1.3180454216152427e-97,-2.893104076450776e-62,4.959460864861217e-66,2.5011110232600903e-58,-3.2738248254130505e-68,3.795180462810567e-53,3.8378311327435657e-103,0.018813296012310757,0.0
0.0010037526871847053,3.7500728121654673e-37,2.0976272081016356e-35,1.996682316642298e-6,3.546807618645434e-38,0.007348027109055469,3.365310773298948e-33,2.5725926613745747e-41,-2.4003631439953174e-53,-4.808752026735573e-70,1.9544118115144353e-57,1.3385920405686762e-65,2.3366592373390365e-32,0.9577658051524887,0.0024418263853174258,0.0025488969782036567,1.3417281824063997e-35,4.915756686174575e-38,1.9330605294094398e-59,1.2768939858280795e-49,5.0404387987101014e-48,4.4628335637334337e-91,8.288844127796983e-68,-7.89650096156697e-93,1.0104088955902826e-59,1.8764364489336846e-62,4.87148132143724e-55,-9.299594737068998e-66,2.0029910799179246e-51,2.5052146320866645e-98,0.028359729040989056,0.0
0.0011689148469660852,5.048105517758419e-35,9.613952589205316e-34,2.926097422834125e-6,2.4925718521575754e-36,0.010673234055698165,4.930577523565149e-31,2.371142618555713e-38,8.933483541130245e-52,8.319129783971626e-68,1.0660788238935232e-56,2.3189356563837508e-64,2.105950912626932e-30,0.9378265168969364,0.0035972045201901233,0.004058634309863328,1.8453931419109536e-33,1.267341458779195e-35,6.2665963550880936e-58,8.512584396260576e-47,6.36004304114962e-45,-5.178219014926837e-87,9.053204584555154e-64,-2.587706525549573e-89,2.632157381627075e-57,3.3363233467555575e-58,3.8059464323791647e-51,9.637252356489808e-64,6.224612945145986e-48,6.167079427455107e-92,0.04183406715520406,0.0
0.0013396116196488666,1.2696324757352264e-32,6.641671556069072e-32,4.148775383757125e-6,2.821971627058709e-34,0.014954865456633019,1.41327330202152e-28,5.789860567553247e-35,7.215081172159481e-50,1.535599020066429e-64,4.1060900352938295e-56,6.701524630970333e-62,3.081210573480946e-28,0.911287857847499,0.005126742936105057,0.006217421754203439,4.666389234788334e-31,5.730575460052096e-33,1.675097810678213e-57,1.1760518632084343e-43,1.7897753628840613e-41,-5.966852794696713e-82,3.167853358909618e-59,1.9875782182303027e-84,5.471109326669512e-54,1.756601741532057e-53,7.907894174990469e-47,1.5751337922019593e-60,3.284917416902361e-44,1.403211431403507e-84,0.05979275201612468,0.0
