!-------------------------------------------------------
!  Authors: Yuxiang Zhu, Henry J. Curran, Chong-Wen Zhou*
!  Including:
!    - NH3 oxidation and related reactions
!    - NOx formation related reactions
!-------------------------------------------------------
! FROM NUIGMech 1.3
H2O                           2   637.056     2.943     1.851     1.407     4.000
NH3                           2   481.000     2.920     1.470     0.000    10.000
NO                            1   139.320     3.339     0.200     1.760     4.000
N2O                           1   232.400     3.828     0.000     0.000     1.000
N2                            1    97.839     3.610     0.000     1.756     4.000
O2                            1   676.424     3.069     0.000     1.487     3.800
H2                            1   304.690     2.190     0.000     0.775   280.000
NO2                           2   333.590     3.852     0.400     0.000     1.000
AR                            0   127.697     3.462     0.000     1.609     2.000
HE                            0    11.442     2.715     0.000     0.204     2.000
H                             0   541.672     1.842     0.000     0.666     0.000   ! sigma +60%, YM 31 July 2023
O                             0   235.686     2.485     0.000     0.744     0.000
OH                            1   514.598     2.582     1.635     1.077     0.000
HO2                           2   963.003     3.129     2.146     1.959     3.800
H2O2                          2  1361.148     3.179     1.702     2.239     3.800
OHV                           1    80.000     2.750     0.000     0.000     0.000
NH2                           2    80.000     2.650     0.000     2.260     4.000
NH                            1    80.000     2.650     0.000     0.000     4.000
N                             0    71.400     3.298     0.000     0.000     0.000
N2H4                          2   205.000     4.230     0.000     4.260     1.500
N2H3                          2   200.000     3.900     0.000     0.000     1.000
N2H2                          2    71.400     3.798     0.000     0.000     1.000
H2NN                          2    71.400     3.798     0.000     0.000     1.000
NNH                           2    71.400     3.798     0.000     0.000     1.000
NO3                           2   400.000     4.200     0.200     0.000     1.000
HNO                           2   170.000     3.430     1.620     0.000     1.000
HON                           2   116.700     3.492     0.000     0.000     1.000
H2NO                          2   116.700     3.492     0.000     0.000     1.000
HNOH                          2   116.700     3.492     0.000     0.000     1.000
NH2OH                         2   116.700     3.492     0.000     0.000     1.000
HONO                          2   350.000     3.950     1.639     0.000     1.000
HNO2                          2   350.000     3.950     1.639     0.000     1.000
HONO2                         2   400.000     4.200     0.200     0.000     1.000
!Meng, Q., Lei, L., Lee, J., & Burke, M. P. (2023). On the role of HNNO in NOx formation. Proceedings of the Combustion Institute.
t-ONNH                        2   232.400     3.828     0.000     0.000     1.000
c-ONNH                        2   232.400     3.828     0.000     0.000     1.000
ONHN                          2   232.400     3.828     0.000     0.000     1.000
H2NNO2                        2   232.400     3.828     0.000     0.000     1.000
t-HNN(O)OH                    2   232.400     3.828     0.000     0.000     1.000
c-HNN(O)OH                    2   232.400     3.828     0.000     0.000     1.000
! FROM NUIGMech 1.3
CO                            1    98.100     3.650     0.000     1.950     1.800
CO2                           1   244.000     3.763     0.000     2.650     2.100
CH4                           2   141.400     3.746     0.000     2.600    13.000
C2H6                          2   247.500     4.350     0.000     0.000     1.500
END
