variable,mean,std,sem,n
CEM,-4.2449789243193266,2.421685434476708,0.009969921156001798,59000
HRR,903308900.1367513,2908827500.8773847,11975453.305075495,59000
MF,0.24517594868002704,0.21835928006161176,0.0008989709294617816,59000
T,943.0234381093065,625.6414206142941,2.5757249668561215,59000
X_AR,0.0,0.0,0.0,59000
X_H,0.00021525016201499525,0.0007274344799927431,2.9948003602920342e-06,59000
X_H2,0.12250552703719488,0.1254403939727616,0.0005164299292886816,59000
X_H2NN,1.0873529474410988e-06,3.134001590166301e-06,1.2902480360127386e-08,59000
X_H2NO,2.007867737112432e-06,4.060677025629481e-06,1.6717542753137126e-08,59000
X_H2O,0.09576287916250986,0.09556320395354108,0.0003934274845393375,59000
X_H2O2,1.505119882410188e-06,6.196994462097038e-06,2.5512622453641588e-08,59000
X_HNO,1.4821432601121203e-05,3.514323949433703e-05,1.4468242734454893e-07,59000
X_HNO2,2.395373121410195e-09,1.561255194542884e-08,6.427585916976993e-11,59000
X_HNOH,1.4277225486739482e-07,2.928517231426671e-07,1.2056514642920855e-09,59000
X_HO2,3.011115935467822e-06,5.8622143139735645e-06,2.4134354395425814e-08,59000
X_HON,2.2674034345426338e-05,6.336770377907184e-05,2.608807079234633e-07,59000
X_HONO,8.062382372505299e-07,5.169404621401556e-06,2.1282102029069517e-08,59000
X_HONO2,1.0536236727792513e-09,1.1864863610120376e-08,4.8846870462833745e-11,59000
X_N,5.681972166541171e-06,1.7504880028687794e-05,7.206645059951794e-08,59000
X_N2,0.5860856888789502,0.17092054086659889,0.0007036687309264006,59000
X_N2H2,2.3050136901748097e-05,5.909172185886832e-05,2.432767689469173e-07,59000
X_N2H3,2.202380401144561e-06,6.16588093299797e-06,2.538453008145052e-08,59000
X_N2H4,1.6863712960358919e-06,4.593984469432033e-06,1.891313475320597e-08,59000
X_N2O,0.0009233159062706676,0.0021012805505017974,8.650835123707918e-06,59000
X_NH,1.7840433550481433e-05,4.560727949910966e-05,1.8776219829067724e-07,59000
X_NH2,0.00018728141918178284,0.0003876564665732713,1.5959564162737398e-06,59000
X_NH2OH,1.678450491144686e-07,3.068450045800399e-07,1.2632608922789606e-09,59000
X_NH3,0.13277468650930302,0.1442270893162334,0.0005937735300262866,59000
X_NNH,7.349980940821503e-09,2.0627413763338604e-08,8.49217185456422e-11,59000
X_NO,0.0017773535666161533,0.007886011798026808,3.246619678274464e-05,59000
X_NO2,3.633086821731453e-06,1.0485232877893492e-05,4.3167020624008046e-08,59000
X_NO3,5.222668740687294e-11,2.328106716928803e-10,9.584663672701133e-13,59000
X_O,9.237917900348957e-05,0.00044972025045747916,1.8514689709430853e-06,59000
X_O2,0.06489692996234335,0.08337807442020322,0.00034326210013659465,59000
X_OH,0.00033592582129746677,0.0011259003145760154,4.635258240410605e-06,59000
