variable,mean,std,sem,n
CEM,-4.468076420817525,2.417832426410098,0.005746978396548598,177000
HRR,1264061112.722825,4517249595.018748,10737111.286465714,177000
MF,0.2895332463924552,0.298153075250221,0.0007086840525468734,177000
T,1013.8859443365546,652.229241190937,1.550292451113743,177000
X_AR,0.0,0.0,0.0,177000
X_H,0.00027981325201029264,0.0009545793121751629,2.268952399239759e-06,177000
X_H2,0.13841560138103268,0.1478469563406269,0.00035141941798944585,177000
X_H2NN,8.570387964060576e-07,2.697193973399652e-06,6.4109966129636706e-09,177000
X_H2NO,1.7283594221733445e-06,3.792371205273699e-06,9.014138097552437e-09,177000
X_H2O,0.10956501885529331,0.10339492554808742,0.00024576078844300476,177000
X_H2O2,1.272173533742165e-06,5.563494385670821e-06,1.3223944593729468e-08,177000
X_HNO,1.5377190494303693e-05,3.8242049753660695e-05,9.089804213617057e-08,177000
X_HNO2,2.72439708000577e-09,1.72140230446781e-08,4.091624277797451e-11,177000
X_HNOH,1.3410984415798204e-07,2.9927839214907934e-07,7.113588334110759e-10,177000
X_HO2,2.9649545518746072e-06,6.116256509804192e-06,1.4537812317201706e-08,177000
X_HON,2.4275775800670183e-05,7.174594084564737e-05,1.705338912557265e-07,177000
X_HONO,8.905666221485419e-07,5.669898229561315e-06,1.3476857320628549e-08,177000
X_HONO2,1.2828766157035708e-09,1.5321132261635105e-08,3.6417005230182216e-11,177000
X_N,7.704395699196804e-06,2.625516230974802e-05,6.240624823451109e-08,177000
X_N2,0.5400434561535774,0.2329908038998964,0.0005537989738169238,177000
X_N2H2,2.2116922542514254e-05,5.8758500186044204e-05,1.3966386896554794e-07,177000
X_N2H3,1.7719377448082094e-06,5.494725020518321e-06,1.306048576525202e-08,177000
X_N2H4,1.3311532579913572e-06,3.93869861664493e-06,9.361945688677327e-09,177000
X_N2O,0.0008971964057127945,0.0021703892220264853,5.158827317742533e-06,177000
X_NH,2.1850842036334863e-05,5.94957597965553e-05,1.4141627124453717e-07,177000
X_NH2,0.00020413650079171905,0.0004296617970713075,1.0212689012767138e-06,177000
X_NH2OH,1.5107155358017793e-07,2.9230361863579144e-07,6.947804004875006e-10,177000
X_NH3,0.1490966881422377,0.17688998610480436,0.00042045218585287745,177000
X_NNH,9.615020788613964e-09,2.9127887021438753e-08,6.923446621892723e-11,177000
X_NO,0.002140853589907922,0.009280694753960537,2.205940811835509e-05,177000
X_NO2,3.599069848056311e-06,1.0742934373675688e-05,2.5535025126915742e-08,177000
X_NO3,5.590334094437487e-11,2.545780306279686e-10,6.051099432176564e-13,177000
X_O,0.00011742704594937599,0.0005530829666299116,1.3146303383152591e-06,177000
X_O2,0.06617297790158695,0.08517494792771728,0.0002024534787113146,177000
X_OH,0.00043633108462320626,0.0014279739940687398,3.39417058233891e-06,177000
