row_index,grid_m,normalized_grid,T_K,X_NH2_qssa,Y_NH2_qssa,solver_success,solver_message
0,0.0,0.0,293.5,2.8123410446605788e-36,2.2971291954417236e-36,True,The solver successfully reached the end of the integration interval.
1,0.00025,0.025,293.50000795073015,2.8123581807301815e-36,2.297140836764073e-36,True,The solver successfully reached the end of the integration interval.
2,0.0005,0.05,293.50004246308134,2.8124167828081853e-36,2.2971821959773883e-36,True,The solver successfully reached the end of the integration interval.
3,0.00075,0.075,293.50019053343016,2.8126252742845367e-36,2.297334687896063e-36,True,The solver successfully reached the end of the integration interval.
4,0.001,0.1,293.50081337139716,2.8133879006989103e-36,2.297909663944383e-36,True,The solver successfully reached the end of the integration interval.
5,0.00125,0.125,293.50336006568136,2.816210995647544e-36,2.3000893438186228e-36,True,The solver successfully reached the end of the integration interval.
6,0.001375,0.13749999999999998,293.507438991738,2.820459167964699e-36,2.303422371306298e-36,True,The solver successfully reached the end of the integration interval.
7,0.0015,0.15,293.5173301125755,2.8303948661258564e-36,2.3112966242263627e-36,True,The solver successfully reached the end of the integration interval.
8,0.001625,0.1625,293.54083995645834,2.8534795193304145e-36,2.329729837489045e-36,True,The solver successfully reached the end of the integration interval.
9,0.00175,0.175,293.59549329797926,2.9067265601082925e-36,2.372481127249033e-36,True,The solver successfully reached the end of the integration interval.
10,0.0018125,0.18125,293.64881211927053,2.9589056822397416e-36,2.414518096892511e-36,True,The solver successfully reached the end of the integration interval.
11,0.001875,0.1875,293.7351505462496,3.044636449666345e-36,2.483723072829826e-36,True,The solver successfully reached the end of the integration interval.
12,0.0019375,0.19375,293.873627030688,3.18626609409972e-36,2.5982224215905816e-36,True,The solver successfully reached the end of the integration interval.
13,0.002,0.2,294.09351087134195,3.423136690310433e-36,2.789918162129427e-36,True,The solver successfully reached the end of the integration interval.
14,0.0020625,0.20625,294.43899533644117,3.82850453403675e-36,3.118180297146602e-36,True,The solver successfully reached the end of the integration interval.
15,0.002125,0.2125,294.9758024619145,4.549962697391721e-36,3.70253422993393e-36,True,The solver successfully reached the end of the integration interval.
16,0.00215625,0.215625,295.3520389634212,5.131380625584174e-36,4.173447117610545e-36,True,The solver successfully reached the end of the integration interval.
17,0.0021875,0.21875000000000006,295.82722903715785,5.9684628433789863e-36,4.8513312379115725e-36,True,The solver successfully reached the end of the integration interval.
18,0.00221875,0.221875,296.4250407623185,7.21014516779589e-36,5.8565911442798266e-36,True,The solver successfully reached the end of the integration interval.
19,0.0022500000000000003,0.22500000000000006,297.17403250094736,9.121756243569735e-36,7.403595909690091e-36,True,The solver successfully reached the end of the integration interval.
20,0.0022812500000000003,0.228125,298.1084032992108,1.2202626024607374e-35,9.895499902914581e-36,True,The solver successfully reached the end of the integration interval.
21,0.0023125000000000003,0.23125000000000004,299.2687642016893,1.7452524927574592e-35,1.413889778647546e-35,True,The solver successfully reached the end of the integration interval.
22,0.0023437500000000003,0.23437500000000006,300.70288982774133,2.7018440313937355e-35,2.1864462382537266e-35,True,The solver successfully reached the end of the integration interval.
23,0.0023750000000000004,0.23750000000000004,302.46639266459636,4.589026430202268e-35,3.7090652249525864e-35,True,The solver successfully reached the end of the integration interval.
24,0.0024062500000000004,0.24062500000000006,304.6232440604772,8.674292039481674e-35,7.001375715875101e-35,True,The solver successfully reached the end of the integration interval.
25,0.0024375000000000004,0.24375000000000005,307.24604816972067,1.8512807917343921e-34,1.4919811678892572e-34,True,The solver successfully reached the end of the integration interval.
26,0.0024687500000000005,0.24687500000000004,310.415961864136,4.522925879845891e-34,3.639026464275167e-34,True,The solver successfully reached the end of the integration interval.
27,0.0025,0.25,314.2221500246046,1.2802938096279163e-33,1.0282069289473667e-33,True,The solver successfully reached the end of the integration interval.
28,0.00253125,0.25312499999999993,318.76067757580364,4.237504459810497e-33,3.396370172413867e-33,True,The solver successfully reached the end of the integration interval.
29,0.0025625,0.25625,324.1327723869165,1.648356302342539e-32,1.3183122869778398e-32,True,The solver successfully reached the end of the integration interval.
30,0.00259375,0.259375,330.44244916755014,7.539849946514118e-32,6.016190258486468e-32,True,The solver successfully reached the end of the integration interval.
31,0.002625,0.2625,337.7935609194023,4.040078715472415e-31,3.2156740659558534e-31,True,The solver successfully reached the end of the integration interval.
32,0.00265625,0.26562499999999994,346.28643164526113,2.5180698795902794e-30,1.9989821433728658e-30,True,The solver successfully reached the end of the integration interval.
33,0.0026875,0.26875,356.01430569567964,1.808417617889711e-29,1.4316597071209448e-29,True,The solver successfully reached the end of the integration interval.
34,0.00271875,0.271875,367.0599060368407,1.477513952514803e-28,1.1663269264750749e-28,True,The solver successfully reached the end of the integration interval.
35,0.00275,0.275,379.4924091126189,1.348159335207858e-27,1.0610431176511894e-27,True,The solver successfully reached the end of the integration interval.
36,0.00278125,0.278125,393.3651097938246,1.340270387103324e-26,1.0516016585206161e-26,True,The solver successfully reached the end of the integration interval.
37,0.0028125,0.28125,408.7139705055588,1.410835879093797e-25,1.1035070525147124e-25,True,The solver successfully reached the end of the integration interval.
38,0.002828125,0.2828125,416.95764771745985,4.639710706799249e-25,3.6232227080896945e-25,True,The solver successfully reached the end of the integration interval.
39,0.00284375,0.284375,425.5879631270671,1.5331408032208168e-24,1.195330486030584e-24,True,The solver successfully reached the end of the integration interval.
40,0.002859375,0.2859375,434.60447953910455,5.071512937320506e-24,3.947687471655553e-24,True,The solver successfully reached the end of the integration interval.
41,0.002875,0.2875,444.00566305976173,1.673452802127609e-23,1.300518381812273e-23,True,The solver successfully reached the end of the integration interval.
42,0.002890625,0.2890625,453.7889462695372,5.48973721523772e-23,4.259434515774142e-23,True,The solver successfully reached the end of the integration interval.
43,0.00290625,0.290625,463.9508002186685,1.784816402809545e-22,1.3825849864976822e-22,True,The solver successfully reached the end of the integration interval.
44,0.002921875,0.2921875,474.4868130159964,5.734464045100247e-22,4.434967740930171e-22,True,The solver successfully reached the end of the integration interval.
45,0.0029375,0.29375,485.3917728018355,1.8160322140480332e-21,1.4022414782950119e-21,True,The solver successfully reached the end of the integration interval.
