row_index,grid_m,normalized_grid,T_K,X_NH2_qssa,Y_NH2_qssa,solver_success,solver_message
0,0.0,0.0,293.5,2.7756167404024106e-13,2.2671326658052805e-13,True,The solver successfully reached the end of the integration interval.
1,0.00025,0.025,293.50000795073015,1.6200242693462654e-12,1.3232396681055858e-12,True,The solver successfully reached the end of the integration interval.
2,0.0005,0.05,293.50004246308134,3.502489242481056e-14,2.8608334222056615e-14,True,The solver successfully reached the end of the integration interval.
3,0.00075,0.075,293.50019053343016,2.3087753202326344e-14,1.8857932047410658e-14,True,The solver successfully reached the end of the integration interval.
4,0.001,0.1,293.50081337139716,2.3751902102562212e-14,1.9400000037314293e-14,True,The solver successfully reached the end of the integration interval.
5,0.00125,0.125,293.50336006568136,2.5322920178849053e-14,2.0682036590212078e-14,True,The solver successfully reached the end of the integration interval.
6,0.001375,0.13749999999999998,293.507438991738,2.7026657325482374e-14,2.2072224201022112e-14,True,The solver successfully reached the end of the integration interval.
7,0.0015,0.15,293.5173301125755,3.56407968594645e-14,2.910422656990308e-14,True,The solver successfully reached the end of the integration interval.
8,0.001625,0.1625,293.54083995645834,8.423646065597058e-14,6.87750497121967e-14,True,The solver successfully reached the end of the integration interval.
9,0.00175,0.175,293.59549329797926,3.9626932133391e-13,3.2343650726383115e-13,True,The solver successfully reached the end of the integration interval.
10,0.0018125,0.18125,293.64881211927053,1.031933883964282e-12,8.420758568221687e-13,True,The solver successfully reached the end of the integration interval.
11,0.001875,0.1875,293.7351505462496,2.8944207880457887e-12,2.3611816427320636e-12,True,The solver successfully reached the end of the integration interval.
12,0.0019375,0.19375,293.873627030688,8.33506178440348e-12,6.796778352461782e-12,True,The solver successfully reached the end of the integration interval.
13,0.002,0.2,294.09351087134195,2.3748301474129025e-11,1.9355294163333548e-11,True,The solver successfully reached the end of the integration interval.
14,0.0020625,0.20625,294.43899533644117,6.54454757333845e-11,5.330300412455672e-11,True,The solver successfully reached the end of the integration interval.
15,0.002125,0.2125,294.9758024619145,1.743457432749702e-10,1.4187392848104408e-10,True,The solver successfully reached the end of the integration interval.
16,0.00215625,0.215625,295.3520389634212,2.8730252297729107e-10,2.336684751939717e-10,True,The solver successfully reached the end of the integration interval.
17,0.0021875,0.21875000000000006,295.82722903715785,4.777902502927366e-10,3.8836109519800027e-10,True,The solver successfully reached the end of the integration interval.
18,0.00221875,0.221875,296.4250407623185,7.976926267247743e-10,6.479425122753108e-10,True,The solver successfully reached the end of the integration interval.
19,0.0022500000000000003,0.22500000000000006,297.17403250094736,1.325453706522696e-09,1.0757932331589407e-09,True,The solver successfully reached the end of the integration interval.
20,0.0022812500000000003,0.228125,298.1084032992108,2.1685465550776594e-09,1.7585437909509725e-09,True,The solver successfully reached the end of the integration interval.
21,0.0023125000000000003,0.23125000000000004,299.2687642016893,3.457277793826231e-09,2.800861053316761e-09,True,The solver successfully reached the end of the integration interval.
22,0.0023437500000000003,0.23437500000000006,300.70288982774133,5.334241451236023e-09,4.3166933457889895e-09,True,The solver successfully reached the end of the integration interval.
23,0.0023750000000000004,0.23750000000000004,302.46639266459636,7.962906300322511e-09,6.435992307456832e-09,True,The solver successfully reached the end of the integration interval.
24,0.0024062500000000004,0.24062500000000006,304.6232440604772,1.1569273251288469e-08,9.338033358352324e-09,True,The solver successfully reached the end of the integration interval.
25,0.0024375000000000004,0.24375000000000005,307.24604816972067,1.6484401755913596e-08,1.3285081776839514e-08,True,The solver successfully reached the end of the integration interval.
26,0.0024687500000000005,0.24687500000000004,310.415961864136,2.3159935847070097e-08,1.863387100178761e-08,True,The solver successfully reached the end of the integration interval.
27,0.0025,0.25,314.2221500246046,3.218114745261174e-08,2.5844752887405914e-08,True,The solver successfully reached the end of the integration interval.
28,0.00253125,0.25312499999999993,318.76067757580364,4.429932944583285e-08,3.550601726308334e-08,True,The solver successfully reached the end of the integration interval.
29,0.0025625,0.25625,324.1327723869165,6.047249774628087e-08,4.836431427983419e-08,True,The solver successfully reached the end of the integration interval.
30,0.00259375,0.259375,330.44244916755014,8.19028335540187e-08,6.535181339915923e-08,True,The solver successfully reached the end of the integration interval.
