grid_m,normalized_grid,T_K,P_Pa,mixture_fraction,heat_release_rate_W_kg,Y_H2O,X_H2O,Y_NH3,X_NH3,Y_NO,X_NO,Y_N2O,X_N2O,Y_N2,X_N2,Y_O2,X_O2,Y_H2,X_H2,Y_NO2,X_NO2,Y_AR,X_AR,Y_HE,X_HE,Y_H,X_H,Y_O,X_O,Y_OH,X_OH,Y_HO2,X_HO2,Y_H2O2,X_H2O2,Y_OHV,X_OHV,Y_NH2,X_NH2,Y_NH,X_NH,Y_N,X_N,Y_N2H4,X_N2H4,Y_N2H3,X_N2H3,Y_N2H2,X_N2H2,Y_H2NN,X_H2NN,Y_NNH,X_NNH,Y_NO3,X_NO3,Y_HNO,X_HNO,Y_HON,X_HON,Y_H2NO,X_H2NO,Y_HNOH,X_HNOH,Y_NH2OH,X_NH2OH,Y_HONO,X_HONO,Y_HNO2,X_HNO2,Y_HONO2,X_HONO2,Y_t-ONNH,X_t-ONNH,Y_c-ONNH,X_c-ONNH,Y_ONHN,X_ONHN,Y_H2NNO2,X_H2NNO2,Y_t-HNN(O)OH,X_t-HNN(O)OH,Y_c-HNN(O)OH,X_c-HNN(O)OH,Y_CO,X_CO,Y_CO2,X_CO2,Y_CH4,X_CH4,Y_C2H6,X_C2H6
0.0,0.0,293.5,99997.6425,0.9999991089966918,929.280286672843,1.362053645660315e-13,1.4831543261867744e-13,0.18942327951625784,0.21818234177568938,1.796175808344965e-15,1.1742677517623368e-15,2.0247752780072733e-17,9.024481398794558e-18,0.6296559213706372,0.44091468536153505,0.15569583050476948,0.09545101363824023,0.025224968608250273,0.245451959224351,3.569917046859067e-17,1.5222272283636033e-17,1.0208402419384189e-17,5.012650146810058e-18,-6.798788610787935e-19,0.0,-7.69577208008214e-16,0.0,4.018499251716223e-16,4.927168898965131e-16,3.6143006282862166e-18,4.168914208070468e-18,-5.131204268679426e-15,0.0,-1.904988779449782e-14,0.0,7.35973219701679e-15,8.48908136849851e-15,6.286841564666699e-15,7.696886447951336e-15,5.112242399538505e-16,6.679016214010138e-16,3.6866468878494064e-15,5.163127026763495e-15,-7.453262085067952e-14,0.0,-1.150858996183714e-16,0.0,4.2072554444368725e-16,2.7483367506608243e-16,3.8130195128378297e-16,2.490807082316743e-16,-2.6941752902918078e-28,0.0,1.2371721667278372e-17,3.914144275051701e-18,-1.2970442727891316e-16,0.0,1.836505223286766e-16,1.1616111757855348e-16,9.733424620306783e-17,5.962708975284728e-17,-4.714912888602527e-18,0.0,1.5589042837533603e-18,9.258428417692033e-19,2.757980014276303e-14,1.1507991853147416e-14,4.2873669667569453e-19,1.7889536497543795e-19,-8.416033806230186e-17,0.0,-9.551384522613393e-17,0.0,-1.2120512805608826e-17,0.0,-7.850349592827967e-38,0.0,-3.530322497336714e-17,0.0,-2.2276078262784645e-17,0.0,5.618628776741528e-18,1.776924426049956e-18,-6.483889020973642e-20,0.0,-8.458562535460193e-17,0.0,-5.037209130283478e-18,0.0,2.733777748607319e-16,1.783430429888738e-16
0.00025,0.025,293.5000079507302,99997.6425,0.9999975307040817,0.0005153743765238658,9.876299515321979e-13,1.0754415892197263e-12,0.18942333126781652,0.21818262510730066,1.2753733015696632e-14,8.337888018502432e-15,1.4604101132704008e-16,6.509096371876207e-17,0.6296559744532446,0.44091517464374697,0.15569584170030262,0.09545111837667866,0.025224852577712117,0.24545108187113746,1.1395773368178207e-16,4.8592093511046134e-17,1.0208404197572435e-17,5.012656159898882e-18,-6.798814753465353e-19,0.0,-9.04725278754596e-19,0.0,6.502329444863559e-16,7.972655027749895e-16,2.1175575229496575e-17,2.4424987304136456e-17,-4.511769726330293e-14,0.0,-1.9060840996987624e-14,0.0,3.44088948843754e-21,3.968897239351242e-21,2.6473023489854587e-14,3.241056142000582e-14,5.75363326234295e-17,7.51698496467781e-17,3.398689903952063e-15,4.759849865197261e-15,-7.441588147338041e-14,0.0,-7.389700254884156e-17,0.0,2.323194441037017e-15,1.5175991314561998e-15,3.4497669792453643e-16,2.2535192401252926e-16,-1.6593032185256804e-27,0.0,1.2371721188764841e-17,3.914148137199975e-18,-7.457734092892524e-17,0.0,1.3367868233710335e-16,8.455342714192898e-17,1.1303244051083504e-15,6.9243895639845e-16,-4.6762326391085495e-18,0.0,1.1633711279557639e-17,6.90933976392747e-18,2.757981807934569e-14,1.1508011137627308e-14,5.873900567163304e-17,2.4509557297933547e-17,-8.41601903669307e-17,0.0,-9.725598269133438e-17,0.0,-1.0354440452564275e-17,0.0,-6.321763125666186e-37,0.0,-3.5530240121910485e-17,0.0,-2.195341078846852e-17,0.0,5.618719856796023e-18,1.776955052730387e-18,-6.483889658266961e-20,0.0,-8.458563014758197e-17,0.0,-5.037208804189211e-18,0.0,2.7337778373519123e-16,1.7834323165016852e-16
0.0005,0.05,293.50004246308134,99997.6425,0.99999317065183,1.813047582644761e-05,6.6828132756719075e-12,7.277012687446102e-12,0.18942347421239872,0.21818340778904413,7.023267883022428e-14,4.591548759726738e-14,1.1512340307259229e-15,5.131102839467964e-16,0.6296561211057436,0.4409165262935644,0.15569587262947168,0.09545140771740748,0.025224532045632554,0.2454486581925296,-2.4104748519392795e-16,0.0,1.0208408989761694e-17,5.0126727121038394e-18,-6.798873933603259e-19,0.0,1.166240465074312e-20,2.2696330442481617e-19,8.53631106968192e-16,1.0466596121708541e-15,4.564471299881519e-19,5.264908657499112e-19,-4.411606554493004e-14,0.0,-1.9063812290144708e-14,0.0,1.590044026556966e-27,1.8340429835634675e-27,8.11316794841351e-14,9.93286894692691e-14,6.410735578425223e-18,8.375497231366133e-18,3.1290061249516987e-15,4.382171363449023e-15,-7.345782818509285e-14,0.0,2.3393490790474184e-16,1.478527393733009e-16,1.406252718947183e-14,9.18620461728393e-15,3.123570296755668e-16,2.04044091761472e-16,5.74542260635206e-28,3.883494665984088e-28,1.237171926175584e-17,3.914158614928428e-18,2.945970243183973e-16,1.8633680520595417e-16,9.691620282969583e-17,6.130087583118201e-17,7.547228294274841e-15,4.6234600116230975e-15,-4.435948822071992e-18,0.0,7.454925391362215e-17,4.427543121154054e-17,2.757997886347234e-14,1.1508110825047458e-14,5.915357349977826e-16,2.4682610632259647e-16,-8.415869462819325e-17,0.0,-9.859311194324527e-17,0.0,-8.825392431462043e-18,0.0,-5.388271354813829e-37,0.0,-3.50533454042011e-17,0.0,-2.163014994938487e-17,0.0,5.619465844740635e-18,1.7771960102034833e-18,-6.483892552151577e-20,0.0,-8.458564381892243e-17,0.0,-5.037210608894999e-18,0.0,2.733778066883841e-16,1.7834375180734255e-16
0.00075,0.075,293.5001905334302,99997.6425,0.9999812418611774,4.167766141928037e-05,4.470230519894385e-11,4.867736830023821e-11,0.18942386517929802,0.21818554900174822,4.1152560811324034e-13,2.6904207138264227e-13,9.077429826593255e-15,4.045883432935335e-15,0.6296565224023121,0.4409202243275774,0.1556959572578641,0.09545219933165694,0.025223655115052594,0.24544202728958212,4.868454004639008e-16,2.0759527948342688e-16,1.0208421983195448e-17,5.012717939681732e-18,-6.798998989660176e-19,0.0,4.6422592756931763e-20,9.03442044884322e-19,1.0180850297348012e-15,1.2483105779538629e-15,3.005193417938998e-19,3.46637987671732e-19,-4.017114486165185e-14,0.0,-1.8991028697168517e-14,0.0,7.203806177212318e-34,8.30932499033165e-34,3.0942142105953817e-13,3.788244324444205e-13,7.031221648054996e-19,9.186221005802087e-19,2.8742976245736126e-15,4.025483444770766e-15,-7.138835618945307e-14,0.0,2.504467944125748e-15,1.5828989321356872e-15,8.55841785675191e-14,5.590743815754557e-14,2.870402073581112e-16,1.875075850490557e-16,1.2548623597790063e-26,8.482037582721582e-27,1.2371710800873112e-17,3.914186272085121e-18,2.735154044028552e-15,1.7300372169821025e-15,6.984561250822461e-17,4.417868505284006e-17,4.690370550250765e-14,2.873360642321039e-14,-2.962220527160993e-18,0.0,4.624625356275015e-16,2.746625323847906e-16,2.75814183835828e-14,1.1508800674296439e-14,4.1807738597888996e-16,1.7444966878592134e-16,-8.414363007964246e-17,0.0,-9.840721276262167e-17,0.0,-7.492847168286508e-18,0.0,-4.5746885529826794e-37,0.0,-2.8776171587692595e-17,0.0,-2.1302892063534175e-17,0.0,5.625604438554537e-18,1.779151172119039e-18,-6.483901586296268e-20,0.0,-8.458568165178479e-17,0.0,-5.037218200950332e-18,0.0,2.733778679500969e-16,1.7834517390511661e-16
0.001,0.1,293.5008133713971,99997.6425,0.999949134006253,0.00013341062986403884,2.930011980542098e-10,3.1906239892369867e-10,0.18942491681185172,0.21819131150065674,2.412963409096913e-12,1.5775499810326567e-12,7.018230279655576e-14,3.128146893292488e-14,0.6296576029209949,0.4409301782002548,0.15569618509351932,0.09545433006440467,0.025221294876137564,0.24542417991193935,4.821661997063661e-15,2.0560431462426184e-15,1.0208456850187327e-17,5.012839622040702e-18,-6.79924066439352e-19,0.0,1.8204627034618407e-19,3.542923297567154e-18,1.1483545749184351e-15,1.4080681111023067e-15,3.091431686902465e-19,3.5659269230168164e-19,-2.5069558358877758e-14,0.0,-1.8225697928001302e-14,0.0,3.177241233016575e-40,3.6649071372769453e-40,1.242450800557657e-12,1.521163387905066e-12,7.633331835760667e-20,9.973079990612345e-20,2.6316599925376597e-15,3.685743820416341e-15,-6.069313903865405e-14,0.0,1.8881564944325908e-14,1.1933964851674132e-14,5.120168389350428e-13,3.344794253092238e-13,2.9545629083848e-16,1.9300937556896836e-16,2.9417504941642226e-25,1.9884697739300473e-25,1.2371671978327005e-17,3.91425563564732e-18,1.8519274991417393e-14,1.171403977901998e-14,5.0350192919875614e-17,3.18481238071195e-17,2.831218984749026e-13,1.734464858352526e-13,5.883138666033197e-18,3.604135648996463e-18,2.802959701388673e-15,1.6647490536685153e-15,2.759409370632172e-14,1.1514329835327971e-14,6.45136434705035e-17,2.6919940828785023e-17,-8.399509148622501e-17,0.0,-8.783060734656878e-17,0.0,-6.324320065753956e-18,0.0,-3.8612689886455345e-37,0.0,2.4176508703720337e-17,7.646211441982789e-18,-2.0967901151525914e-17,0.0,5.675107333890564e-18,1.7948443740430166e-18,-6.483926944200812e-20,0.0,-8.458578390950979e-17,0.0,-5.037241052429178e-18,0.0,2.7337803145165003e-16,1.7834900069936874e-16
0.00125,0.125,293.5033600656814,99997.6425,0.9998647026087943,0.0005287005405826716,1.8641330344533153e-09,2.0300510196377404e-09,0.18942767816869213,0.21820646001718677,1.3805323958572678e-11,9.026155559273789e-12,5.261886148917403e-13,2.3454425076660277e-13,0.6296604463601355,0.44095635419576706,0.1556967844831239,0.09545993316200986,0.025215089099624697,0.24537725057648255,3.662262312658184e-14,1.561739984024188e-14,1.0208548488882923e-17,5.013159574229757e-18,-6.799644193305581e-19,0.0,6.879215415481611e-19,1.3388832045010358e-17,1.2492394217479376e-15,1.5318532376798294e-15,3.301322312294121e-19,3.808241943642199e-19,2.74327499664704e-14,1.6305749511889365e-14,-1.1360860646616137e-14,0.0,1.950988714437754e-42,2.2505639713595128e-42,4.944967802931239e-12,6.0545790263514205e-12,9.379571151059154e-21,1.225524399564541e-20,2.398279163469565e-15,3.359068978782108e-15,1.5778400723571035e-14,9.659473822425375e-15,1.3326852661759723e-13,8.423608692965917e-14,2.9767634586454925e-12,1.9447031167785507e-12,5.081372769320299e-16,3.319632748551445e-16,6.701415989815365e-24,4.5300558502609215e-24,1.2371509880544561e-17,3.914419041132035e-18,1.1743074072563642e-13,7.428281176434979e-14,3.997131172271545e-17,2.5284532877211217e-17,1.657483751120148e-12,1.0154654297176068e-12,5.734718452694874e-17,3.5134029723909856e-17,1.649152602572383e-14,9.795273966232386e-15,2.770214002320174e-14,1.1560048905190589e-14,2.4150464909673187e-18,1.007794181984083e-18,-8.257806535754102e-17,0.0,-9.26149669234567e-19,0.0,-5.288341505779605e-18,0.0,-3.2289012169475464e-37,0.0,4.3993832245796014e-16,1.3914523315245556e-16,-2.062128761986535e-17,0.0,6.061616307374099e-18,1.9171892315675542e-18,-6.483994259362141e-20,0.0,-8.4586053206204e-17,0.0,-5.037302307335832e-18,0.0,2.733784610415855e-16,1.7835906329270986e-16
0.001375,0.13749999999999998,293.50743899173796,99997.6425,0.9997734105357549,0.0012179558324675443,5.634651814309583e-09,6.1365303588877825e-09,0.1894306556571854,0.21822282946238153,3.856796732358222e-11,2.521788817607205e-11,1.8051406191225458e-12,8.046743094295667e-13,0.6296635249667977,0.44098465851488805,0.15569743308844547,0.09546599152193277,0.02520838058736188,0.24532651431594396,1.3259224297631017e-13,5.654616437606182e-14,1.0208647625177922e-17,5.0135055351873286e-18,-6.799878117591711e-19,0.0,1.387079801815329e-18,2.699796217992732e-17,1.2923763635914445e-15,1.5848429678308319e-15,3.552557558378024e-19,4.0982974928265017e-19,8.767912638989295e-14,5.2118677571210503e-14,1.130011093638577e-14,6.518010694863343e-15,4.067072686682357e-42,4.691851861953651e-42,1.0715165694396878e-11,1.3120341148030215e-11,3.0337991046680953e-21,3.9641634347605914e-21,2.2837667545440426e-15,3.198870706170772e-15,2.3388969400261437e-13,1.4319482609248746e-13,4.345835212025042e-13,2.747069168539758e-13,8.410477519592601e-12,5.494844302766131e-12,1.0828167042229816e-15,7.074401167209658e-16,4.0606086857069064e-23,2.745072824961043e-23,1.2371329839563562e-17,3.914594192385203e-18,3.5265554671219773e-13,2.2309149069667395e-13,4.7543994172021134e-17,3.007654532133666e-17,4.706120148901256e-12,2.8833982231388164e-12,1.7150619677435037e-16,1.0508033101363006e-16,4.700410357323126e-14,2.7920119314288988e-14,2.8046071207035798e-14,1.170426472484041e-14,8.594480441155053e-20,3.586672568616556e-20,-7.755340614648737e-17,0.0,2.459981923422677e-16,1.072029774397889e-16,-4.793886460671076e-18,0.0,-2.9272807553869726e-37,0.0,1.658159262865431e-15,5.244795172143426e-16,-2.044339859505047e-17,0.0,7.193311525835293e-18,2.2752606705117448e-18,-6.484067278955074e-20,0.0,-8.458634461200721e-17,0.0,-5.037369520104637e-18,0.0,2.7337892587782515e-16,1.7836994307435243e-16
0.0015,0.15,293.5173301125755,99997.6425,0.9996134740124976,0.0031138550061131838,1.8668437493726653e-08,2.0333347323069532e-08,0.18943584870047803,0.2182514785983272,1.1692351033321686e-10,7.645905325199095e-11,6.895707072558137e-12,3.074206300178104e-12,0.629668929645378,0.4410342478534997,0.15569857069125995,0.09547660488832595,0.025196632100967353,0.24523764818840388,5.425300546331119e-13,2.3139498505021216e-13,1.0208821295149822e-17,5.0141115721130625e-18,-6.800022328760965e-19,0.0,2.7122280947826815e-18,5.2795979768223396e-17,1.3315839156909316e-15,1.6330928515223637e-15,4.641616458751897e-19,5.355212580651413e-19,2.1241274680341028e-13,1.2627659280655482e-13,1.1590681956345394e-13,6.686309218194281e-14,8.193940080887133e-42,9.453665850295135e-42,2.43711417721729e-11,2.9844700084954663e-11,2.7031979539629727e-21,3.532544887527051e-21,2.170775223705929e-15,3.040919356098277e-15,1.1210314431714655e-12,6.8640294984984e-13,1.5674562522496161e-12,9.90916078448658e-13,2.5821304122233226e-11,1.687166782080318e-11,3.0745551544742653e-15,2.0089176370593647e-15,2.8031897425333017e-22,1.895223064809229e-22,1.2371152932651842e-17,3.914944806250535e-18,1.1591674431122138e-12,7.333707220116899e-13,9.594127891438061e-17,6.069919010083251e-17,1.4528423099774911e-11,8.902360998912966e-12,5.393132396929205e-16,3.3046677662588444e-16,1.4573918465577468e-13,8.657708063391779e-14,2.9583203698681655e-14,1.2347027463321053e-14,1.3255067890859571e-21,5.53221648823388e-22,-5.273669234038928e-17,0.0,1.233097026079658e-15,5.374242866162315e-16,-4.2858157918578675e-18,0.0,-2.617702159773508e-37,0.0,6.701955463044313e-15,2.1200638208172986e-15,-2.0260268576282453e-17,0.0,1.1878291433159717e-17,3.757520631019966e-18,-6.484196270267329e-20,0.0,-8.458685625820785e-17,0.0,-5.037489419614312e-18,0.0,2.733797407933515e-16,1.7838900159449852e-16
0.0016250000000000001,0.1625,293.5408399564584,99997.6425,0.9993373131433798,0.00844780675099622,6.262999218995962e-08,6.822776136385532e-08,0.18944474414402127,0.21830085802290344,3.5907405287978063e-10,2.348491265988274e-10,2.663994041001808e-11,1.1878601361516966e-11,0.6296782949445884,0.44111987914832,0.15570053848201412,0.09549492922484192,0.025176359213764637,0.24508426496967595,2.248442755113264e-12,9.591572871066435e-13,1.0209121295682594e-17,5.015157895994528e-18,-6.799842656831155e-19,0.0,4.7155983868941855e-18,9.18098565985098e-17,1.3728938740214735e-15,1.6840584446410796e-15,1.1057730990854597e-18,1.2760019536787761e-18,4.72131502134295e-13,2.8072630816122074e-13,5.857987249837736e-13,3.3798991771460263e-13,1.469884781300129e-41,1.6961670112728176e-41,5.606007688846296e-11,6.866301779196021e-11,9.790623195276734e-21,1.279670123761897e-20,2.058903613610601e-15,2.8847216761501085e-15,4.639320133865497e-12,2.8411459506913614e-12,5.720107956359774e-12,3.6167919488825908e-12,8.029966487924894e-11,5.24772938578824e-11,9.733690350762546e-15,6.3611439677452635e-15,1.9825787643478017e-21,1.3406522549862751e-21,1.2372365543571112e-17,3.91603050251218e-18,3.8576712035276635e-12,2.4410712585086473e-12,2.958789921593955e-16,1.8722738814451853e-16,4.542970790999601e-11,2.7842262391516867e-11,1.6964587065427193e-15,1.0396995846311144e-15,4.57699601674913e-13,2.7194745037759514e-13,3.62710828955068e-14,1.5141035833178517e-14,8.687236974118963e-24,3.626408582709912e-24,6.65002160686593e-17,2.0711560546251456e-17,5.0738194436705234e-15,2.2117340389101924e-15,-3.6312752518060665e-18,0.0,-2.2191952700729043e-37,0.0,2.704276571345354e-14,8.556109975537622e-15,-2.0070402330703233e-17,0.0,3.0771411145269887e-17,9.735822905511176e-18,-6.484419890040916e-20,0.0,-8.458774227465177e-17,0.0,-5.0376975289870385e-18,0.0,2.733811531445098e-16,1.78421905685568e-16
0.00175,0.175,293.59549329797926,99997.6425,0.9988680131599816,0.023187182585264216,2.0688235730900946e-07,2.254417957905935e-07,0.18945964866025627,0.2183845067716951,1.0878940439930406e-09,7.117438770668582e-10,1.0102923814037194e-10,4.5062092191541784e-11,0.6296943046580779,0.44126541134882785,0.1557038912061863,0.09552606267768483,0.025141946823742704,0.24482379256034387,9.140552487347753e-12,3.9004315197351394e-12,1.0209631452270533e-17,5.0169356100865064e-18,-6.798859376573084e-19,0.0,6.960211086146355e-18,1.3555237285934522e-16,1.431487065855619e-15,1.756466355669164e-15,5.154009216207353e-18,5.949256923112531e-18,1.0713041478611204e-12,6.371844030691592e-13,2.6332343376312933e-12,1.519767132358612e-12,2.2664125919754402e-41,2.616113056421986e-41,1.28015193404056e-10,1.5684220148399475e-10,5.039731891224846e-20,6.589118864116513e-20,1.947830381019504e-15,2.7299283730540553e-15,1.8189676136872624e-11,1.1142852554162515e-11,2.0515280115515643e-11,1.2975645381944492e-11,2.462891176151781e-10,1.610034329138064e-10,3.1375972897753075e-14,2.051101322081913e-14,1.373159067040329e-20,9.288353951450998e-21,1.238411303393345e-17,3.920942245357931e-18,1.2643047134930943e-11,8.002749447141544e-12,1.0538223476865425e-15,6.67044591412887e-16,1.4008831981641516e-10,8.588132156999082e-11,5.241183883740238e-15,3.2131144060891576e-15,1.4173764800432e-12,8.424068578257767e-13,6.450549290987679e-14,2.6935434053746556e-14,2.628369516649152e-26,1.0975231812195168e-26,6.219252669416082e-16,1.937582406987685e-16,1.958605233844847e-14,8.540376542475506e-15,-2.3212478291942476e-18,0.0,-1.4194769404259232e-37,0.0,1.0669455330114926e-13,3.376756284822829e-14,-1.9871185837605667e-17,0.0,1.0475312946971291e-16,3.3153125192183765e-17,-6.484800131102606e-20,0.0,-8.458925466651972e-17,0.0,-5.03804908453149e-18,0.0,2.733835733589845e-16,1.7847781203596647e-16
